Date,Centre_Name,Commodity_Name,Price
,BENGALURU,Brinjal,14.0
,T.PURAM,Brinjal,35.0
,CHENNAI,Brinjal,24.0
,T.PURAM,Brinjal,8.0
,CHENNAI,Brinjal,18.0
,BENGALURU,Brinjal,10.0
,T.PURAM,Brinjal,10.0
,CHENNAI,Brinjal,15.0
,BENGALURU,Brinjal,9.0
,T.PURAM,Brinjal,14.0
,CHENNAI,Brinjal,14.0
,BENGALURU,Brinjal,15.0
,BENGALURU,Brinjal,12.0
,T.PURAM,Brinjal,16.0
,BENGALURU,Brinjal,8.0
,T.PURAM,Brinjal,18.0
,BENGALURU,Brinjal,16.0
,T.PURAM,Brinjal,12.0
,BENGALURU,Brinjal,20.0
,CHENNAI,Brinjal,26.0
,BENGALURU,Brinjal,18.0
,T.PURAM,Brinjal,25.0
,T.PURAM,Brinjal,20.0
,CHENNAI,Brinjal,16.0
,T.PURAM,Brinjal,24.0
,HYDERABAD,Brinjal,8.0
,T.PURAM,Brinjal,21.0
,CHENNAI,Brinjal,12.0
,HYDERABAD,Brinjal,12.0
,HYDERABAD,Brinjal,10.0
,DINDIGUL,Brinjal,12.0
,DINDIGUL,Brinjal,10.0
,DINDIGUL,Brinjal,15.0
,DINDIGUL,Brinjal,16.0
,DINDIGUL,Brinjal,18.0
,CHENNAI,Brinjal,20.0
,DINDIGUL,Brinjal,20.0
,DINDIGUL,Brinjal,22.0
,DINDIGUL,Brinjal,14.0
,HYDERABAD,Brinjal,11.0
,T.PURAM,Brinjal,15.0
,DINDIGUL,Brinjal,25.0
,CHENNAI,Brinjal,22.0
,HYDERABAD,Brinjal,13.0
,HYDERABAD,Brinjal,14.0
,DINDIGUL,Brinjal,24.0
,T.PURAM,Brinjal,17.0
,HYDERABAD,Brinjal,16.0
,HYDERABAD,Brinjal,15.0
,T.PURAM,Brinjal,22.0
,T.PURAM,Brinjal,19.0
,DINDIGUL,Brinjal,17.0
,BENGALURU,Brinjal,11.0
,HYDERABAD,Brinjal,17.0
,BENGALURU,Brinjal,13.0
,DHARWAD,Brinjal,10.0
,DHARWAD,Brinjal,12.0
,THIRUCHIRAPALLI,Brinjal,15.0
,CHENNAI,Brinjal,13.0
,THIRUCHIRAPALLI,Brinjal,16.0
,THIRUCHIRAPALLI,Brinjal,18.0
,THIRUCHIRAPALLI,Brinjal,14.0
,THIRUCHIRAPALLI,Brinjal,17.0
,HYDERABAD,Brinjal,19.0
,THIRUCHIRAPALLI,Brinjal,10.0
,HYDERABAD,Brinjal,18.0
,THIRUCHIRAPALLI,Brinjal,11.0
,THIRUCHIRAPALLI,Brinjal,12.0
,THIRUCHIRAPALLI,Brinjal,20.0
,DHARWAD,Brinjal,14.0
,THIRUCHIRAPALLI,Brinjal,30.0
,THIRUCHIRAPALLI,Brinjal,28.0
,CHENNAI,Brinjal,28.0
,DINDIGUL,Brinjal,28.0
,THIRUCHIRAPALLI,Brinjal,26.0
,CHENNAI,Brinjal,27.0
,CHENNAI,Brinjal,23.0
,DHARWAD,Brinjal,18.0
,THIRUCHIRAPALLI,Brinjal,40.0
,THIRUCHIRAPALLI,Brinjal,42.0
,CHENNAI,Brinjal,32.0
,DINDIGUL,Brinjal,32.0
,THIRUCHIRAPALLI,Brinjal,44.0
,DINDIGUL,Brinjal,35.0
,DINDIGUL,Brinjal,34.0
,DINDIGUL,Brinjal,45.0
,HYDERABAD,Brinjal,20.0
,CHENNAI,Brinjal,19.0
,CHENNAI,Brinjal,21.0
,DINDIGUL,Brinjal,40.0
,HYDERABAD,Brinjal,22.0
,BENGALURU,Brinjal,23.0
