Date,Centre_Name,Commodity_Name,Price
,T.PURAM,Cabbage,20.0
,CHENNAI,Cabbage,12.0
,T.PURAM,Cabbage,10.0
,CHENNAI,Cabbage,8.0
,T.PURAM,Cabbage,8.0
,BENGALURU,Cabbage,9.0
,T.PURAM,Cabbage,14.0
,CHENNAI,Cabbage,10.0
,BENGALURU,Cabbage,12.0
,BENGALURU,Cabbage,8.0
,BENGALURU,Cabbage,7.0
,BENGALURU,Cabbage,10.0
,BENGALURU,Cabbage,6.0
,T.PURAM,Cabbage,18.0
,T.PURAM,Cabbage,19.0
,HYDERABAD,Cabbage,8.0
,T.PURAM,Cabbage,12.0
,HYDERABAD,Cabbage,6.0
,HYDERABAD,Cabbage,5.0
,HYDERABAD,Cabbage,7.0
,DINDIGUL,Cabbage,10.0
,T.PURAM,Cabbage,11.0
,DINDIGUL,Cabbage,6.0
,HYDERABAD,Cabbage,10.0
,DINDIGUL,Cabbage,12.0
,DINDIGUL,Cabbage,15.0
,DINDIGUL,Cabbage,14.0
,T.PURAM,Cabbage,13.0
,BENGALURU,Cabbage,16.0
,CHENNAI,Cabbage,14.0
,DINDIGUL,Cabbage,18.0
,DINDIGUL,Cabbage,16.0
,HYDERABAD,Cabbage,11.0
,CHENNAI,Cabbage,16.0
,T.PURAM,Cabbage,17.0
,HYDERABAD,Cabbage,12.0
,HYDERABAD,Cabbage,13.0
,HYDERABAD,Cabbage,14.0
,T.PURAM,Cabbage,23.0
,T.PURAM,Cabbage,25.0
,T.PURAM,Cabbage,24.0
,T.PURAM,Cabbage,22.0
,T.PURAM,Cabbage,16.0
,CHENNAI,Cabbage,11.0
,DHARWAD,Cabbage,7.0
,BENGALURU,Cabbage,18.0
,DHARWAD,Cabbage,10.0
,THIRUCHIRAPALLI,Cabbage,12.0
,THIRUCHIRAPALLI,Cabbage,14.0
,THIRUCHIRAPALLI,Cabbage,10.0
,HYDERABAD,Cabbage,16.0
,DHARWAD,Cabbage,8.0
,BENGALURU,Cabbage,19.0
,DHARWAD,Cabbage,9.0
,HYDERABAD,Cabbage,15.0
,BENGALURU,Cabbage,11.0
,CHENNAI,Cabbage,24.0
,CHENNAI,Cabbage,15.0
,BENGALURU,Cabbage,13.0
,DHARWAD,Cabbage,11.0
,CHENNAI,Cabbage,13.0
,THIRUCHIRAPALLI,Cabbage,16.0
,THIRUCHIRAPALLI,Cabbage,15.0
,DHARWAD,Cabbage,20.0
,HYDERABAD,Cabbage,18.0
,BENGALURU,Cabbage,14.0
,THIRUCHIRAPALLI,Cabbage,20.0
,CHENNAI,Cabbage,18.0
,CHENNAI,Cabbage,17.0
,THIRUCHIRAPALLI,Cabbage,18.0
,DINDIGUL,Cabbage,17.0
,HYDERABAD,Cabbage,20.0
,T.PURAM,Cabbage,26.0
,HYDERABAD,Cabbage,22.0
,DINDIGUL,Cabbage,19.0
,DINDIGUL,Cabbage,20.0
,HYDERABAD,Cabbage,21.0
,DHARWAD,Cabbage,21.0
,DHARWAD,Cabbage,41.0
,HYDERABAD,Cabbage,23.0
,BENGALURU,Cabbage,17.0
,DHARWAD,Cabbage,38.0
,HYDERABAD,Cabbage,24.0
,DHARWAD,Cabbage,31.0
,ERNAKULAM,Cabbage,25.0
,DINDIGUL,Cabbage,23.0
,BENGALURU,Cabbage,15.0
,DHARWAD,Cabbage,29.0
,ERNAKULAM,Cabbage,30.0
,ERNAKULAM,Cabbage,27.0
,ERNAKULAM,Cabbage,26.0
,DHARWAD,Cabbage,19.0
,DHARWAD,Cabbage,25.0
,ERNAKULAM,Cabbage,24.0
,DHARWAD,Cabbage,14.0
,THIRUCHIRAPALLI,Cabbage,8.0
,ERNAKULAM,Cabbage,22.0
,ERNAKULAM,Cabbage,21.0
,HYDERABAD,Cabbage,9.0
,THIRUCHIRAPALLI,Cabbage,6.0
,CHENNAI,Cabbage,9.0
,T.PURAM,Cabbage,15.0
,DHARWAD,Cabbage,18.0
,DHARWAD,Cabbage,13.0
,ERNAKULAM,Cabbage,20.0
,DINDIGUL,Cabbage,8.0
,ERNAKULAM,Cabbage,18.0
,ERNAKULAM,Cabbage,14.0
,ERNAKULAM,Cabbage,16.0
,ERNAKULAM,Cabbage,17.0
,ERNAKULAM,Cabbage,15.0
,HYDERABAD,Cabbage,17.0
,HYDERABAD,Cabbage,19.0
,DHARWAD,Cabbage,12.0
,DHARWAD,Cabbage,16.0
,DHARWAD,Cabbage,15.0
,ERNAKULAM,Cabbage,19.0
,CHENNAI,Cabbage,20.0
,DINDIGUL,Cabbage,13.0
,CHENNAI,Cabbage,26.0
,BENGALURU,Cabbage,21.0
,CHENNAI,Cabbage,25.0
,CHENNAI,Cabbage,22.0
,BENGALURU,Cabbage,23.0
,THIRUCHIRAPALLI,Cabbage,24.0
,BENGALURU,Cabbage,25.0
,T.PURAM,Cabbage,21.0
,CHENNAI,Cabbage,27.0
,ERNAKULAM,Cabbage,23.0
,DINDIGUL,Cabbage,24.0
,ERNAKULAM,Cabbage,29.0
,DINDIGUL,Cabbage,25.0
,BENGALURU,Cabbage,28.0
,ERNAKULAM,Cabbage,31.0
,BENGALURU,Cabbage,31.0
,ERNAKULAM,Cabbage,33.0
,CHENNAI,Cabbage,31.0
,DINDIGUL,Cabbage,28.0
,THIRUCHIRAPALLI,Cabbage,25.0
,CHENNAI,Cabbage,29.0
,DINDIGUL,Cabbage,27.0
,ERNAKULAM,Cabbage,35.0
,DINDIGUL,Cabbage,29.0
,CHENNAI,Cabbage,28.0
,THIRUCHIRAPALLI,Cabbage,22.0
,BENGALURU,Cabbage,29.0
,CHENNAI,Cabbage,23.0
,DINDIGUL,Cabbage,30.0
,ERNAKULAM,Cabbage,28.0
,PUDUCHERRY,Cabbage,19.0
,PUDUCHERRY,Cabbage,18.0
,PUDUCHERRY,Cabbage,17.0
,HYDERABAD,Cabbage,25.0
,HYDERABAD,Cabbage,27.0
,PUDUCHERRY,Cabbage,16.0
,HYDERABAD,Cabbage,26.0
,HYDERABAD,Cabbage,29.0
,HYDERABAD,Cabbage,32.0
,DHARWAD,Cabbage,17.0
,PUDUCHERRY,Cabbage,15.0
,HYDERABAD,Cabbage,30.0
,HYDERABAD,Cabbage,28.0
,PUDUCHERRY,Cabbage,14.0
,CHENNAI,Cabbage,21.0
,PUDUCHERRY,Cabbage,12.0
,BENGALURU,Cabbage,20.0
,PUDUCHERRY,Cabbage,10.0
,PUDUCHERRY,Cabbage,8.0
,PUDUCHERRY,Cabbage,7.0
,PUDUCHERRY,Cabbage,9.0
,THIRUCHIRAPALLI,Cabbage,9.0
,PUDUCHERRY,Cabbage,6.0
,KOZHIKODE,Cabbage,16.0
,KOZHIKODE,Cabbage,17.0
,PUDUCHERRY,Cabbage,11.0
,KOZHIKODE,Cabbage,18.0
,KOZHIKODE,Cabbage,20.0
,KOZHIKODE,Cabbage,19.0
,KOZHIKODE,Cabbage,15.0
,DHARWAD,Cabbage,22.0
,KOZHIKODE,Cabbage,14.0
,DHARWAD,Cabbage,23.0
,DHARWAD,Cabbage,28.0
