Date,Centre_Name,Commodity_Name,Price
,BENGALURU,Groundnut Oil (Packed),38.0
,T.PURAM,Groundnut Oil (Packed),48.0
,CHENNAI,Groundnut Oil (Packed),38.0
,HYDERABAD,Groundnut Oil (Packed),40.0
,CHENNAI,Groundnut Oil (Packed),40.0
,CHENNAI,Groundnut Oil (Packed),39.0
,BENGALURU,Groundnut Oil (Packed),39.0
,HYDERABAD,Groundnut Oil (Packed),42.0
,CHENNAI,Groundnut Oil (Packed),37.0
,CHENNAI,Groundnut Oil (Packed),36.0
,T.PURAM,Groundnut Oil (Packed),47.5
,CHENNAI,Groundnut Oil (Packed),35.0
,BENGALURU,Groundnut Oil (Packed),37.0
,T.PURAM,Groundnut Oil (Packed),48.5
,T.PURAM,Groundnut Oil (Packed),50.0
,CHENNAI,Groundnut Oil (Packed),43.0
,HYDERABAD,Groundnut Oil (Packed),43.0
,HYDERABAD,Groundnut Oil (Packed),45.0
,CHENNAI,Groundnut Oil (Packed),42.0
,CHENNAI,Groundnut Oil (Packed),41.0
,T.PURAM,Groundnut Oil (Packed),52.0
,HYDERABAD,Groundnut Oil (Packed),39.0
,BENGALURU,Groundnut Oil (Packed),36.0
,BENGALURU,Groundnut Oil (Packed),34.0
,BENGALURU,Groundnut Oil (Packed),35.0
,HYDERABAD,Groundnut Oil (Packed),38.0
,T.PURAM,Groundnut Oil (Packed),51.0
,BENGALURU,Groundnut Oil (Packed),33.0
,HYDERABAD,Groundnut Oil (Packed),36.0
,CHENNAI,Groundnut Oil (Packed),34.0
,CHENNAI,Groundnut Oil (Packed),33.0
,BENGALURU,Groundnut Oil (Packed),32.0
,T.PURAM,Groundnut Oil (Packed),50.5
,T.PURAM,Groundnut Oil (Packed),54.0
,T.PURAM,Groundnut Oil (Packed),49.0
,HYDERABAD,Groundnut Oil (Packed),46.0
,HYDERABAD,Groundnut Oil (Packed),48.0
,HYDERABAD,Groundnut Oil (Packed),49.0
,BENGALURU,Groundnut Oil (Packed),40.0
,BENGALURU,Groundnut Oil (Packed),41.0
,BENGALURU,Groundnut Oil (Packed),42.0
,BENGALURU,Groundnut Oil (Packed),43.0
,HYDERABAD,Groundnut Oil (Packed),44.0
,T.PURAM,Groundnut Oil (Packed),47.0
,CHENNAI,Groundnut Oil (Packed),46.0
,CHENNAI,Groundnut Oil (Packed),45.0
,BENGALURU,Groundnut Oil (Packed),45.0
,BENGALURU,Groundnut Oil (Packed),46.0
,CHENNAI,Groundnut Oil (Packed),47.0
,BENGALURU,Groundnut Oil (Packed),47.0
,T.PURAM,Groundnut Oil (Packed),55.0
