Date,Centre_Name,Commodity_Name,Price
,HYDERABAD,Gur,32.0
,CHENNAI,Gur,40.0
,THIRUCHIRAPALLI,Gur,30.0
,T.PURAM,Gur,34.0
,CHENNAI,Gur,41.0
,BENGALURU,Gur,33.0
,DHARWAD,Gur,30.0
,BENGALURU,Gur,32.0
,THIRUCHIRAPALLI,Gur,31.0
,THIRUCHIRAPALLI,Gur,32.0
,CHENNAI,Gur,36.0
,BENGALURU,Gur,34.0
,BENGALURU,Gur,36.0
,DHARWAD,Gur,32.0
,CHENNAI,Gur,38.0
,THIRUCHIRAPALLI,Gur,34.0
,THIRUCHIRAPALLI,Gur,36.0
,CHENNAI,Gur,42.0
,CHENNAI,Gur,45.0
,BENGALURU,Gur,45.0
,DHARWAD,Gur,34.0
,T.PURAM,Gur,33.0
,THIRUCHIRAPALLI,Gur,38.0
,T.PURAM,Gur,40.0
,CHENNAI,Gur,50.0
,THIRUCHIRAPALLI,Gur,40.0
,T.PURAM,Gur,48.0
,BENGALURU,Gur,44.0
,HYDERABAD,Gur,31.0
,CHENNAI,Gur,52.0
,THIRUCHIRAPALLI,Gur,46.0
,CHENNAI,Gur,48.0
,CHENNAI,Gur,44.0
,HYDERABAD,Gur,30.0
,T.PURAM,Gur,51.0
,BENGALURU,Gur,39.0
,T.PURAM,Gur,61.0
,HYDERABAD,Gur,34.0
,DHARWAD,Gur,31.0
,HYDERABAD,Gur,33.0
,BENGALURU,Gur,31.0
,DHARWAD,Gur,33.0
,THIRUCHIRAPALLI,Gur,35.0
,ERNAKULAM,Gur,34.0
,ERNAKULAM,Gur,35.0
,ERNAKULAM,Gur,36.0
,T.PURAM,Gur,35.0
,CHENNAI,Gur,34.0
,DINDIGUL,Gur,32.0
,DINDIGUL,Gur,29.0
,ERNAKULAM,Gur,37.0
,BENGALURU,Gur,28.0
,DHARWAD,Gur,25.0
,T.PURAM,Gur,36.0
,CHENNAI,Gur,30.0
,T.PURAM,Gur,39.0
,CHENNAI,Gur,32.0
,T.PURAM,Gur,38.0
,DINDIGUL,Gur,30.0
,DHARWAD,Gur,29.0
,DINDIGUL,Gur,27.0
