Date,Centre_Name,Commodity_Name,Price
,CHENNAI,Masoor Dal,1.0
,T.PURAM,Masoor Dal,47.0
,HYDERABAD,Masoor Dal,52.0
,T.PURAM,Masoor Dal,45.0
,HYDERABAD,Masoor Dal,50.0
,HYDERABAD,Masoor Dal,54.0
,HYDERABAD,Masoor Dal,56.0
,HYDERABAD,Masoor Dal,58.0
,T.PURAM,Masoor Dal,52.0
,T.PURAM,Masoor Dal,55.0
,T.PURAM,Masoor Dal,60.0
,T.PURAM,Masoor Dal,67.0
,HYDERABAD,Masoor Dal,59.0
,T.PURAM,Masoor Dal,70.0
,T.PURAM,Masoor Dal,74.0
,HYDERABAD,Masoor Dal,62.0
,HYDERABAD,Masoor Dal,60.0
,CHENNAI,Masoor Dal,65.0
,CHENNAI,Masoor Dal,68.0
,T.PURAM,Masoor Dal,72.0
,T.PURAM,Masoor Dal,68.0
,HYDERABAD,Masoor Dal,53.0
,HYDERABAD,Masoor Dal,48.0
,T.PURAM,Masoor Dal,59.0
,HYDERABAD,Masoor Dal,47.0
,HYDERABAD,Masoor Dal,51.0
,T.PURAM,Masoor Dal,63.0
,HYDERABAD,Masoor Dal,55.0
,T.PURAM,Masoor Dal,65.0
,T.PURAM,Masoor Dal,56.0
,T.PURAM,Masoor Dal,66.0
,CHENNAI,Masoor Dal,50.0
,BENGALURU,Masoor Dal,32.0
,CHENNAI,Masoor Dal,52.0
,T.PURAM,Masoor Dal,58.0
,HYDERABAD,Masoor Dal,44.0
,HYDERABAD,Masoor Dal,49.0
,CHENNAI,Masoor Dal,48.0
,HYDERABAD,Masoor Dal,45.0
,HYDERABAD,Masoor Dal,46.0
,CHENNAI,Masoor Dal,45.0
,CHENNAI,Masoor Dal,46.0
,T.PURAM,Masoor Dal,57.0
,T.PURAM,Masoor Dal,54.0
,T.PURAM,Masoor Dal,51.0
,T.PURAM,Masoor Dal,53.0
,T.PURAM,Masoor Dal,62.0
,T.PURAM,Masoor Dal,61.0
,ERNAKULAM,Masoor Dal,52.0
,ERNAKULAM,Masoor Dal,68.0
,ERNAKULAM,Masoor Dal,54.0
,ERNAKULAM,Masoor Dal,53.0
,ERNAKULAM,Masoor Dal,58.0
,ERNAKULAM,Masoor Dal,55.0
,HYDERABAD,Masoor Dal,42.0
,HYDERABAD,Masoor Dal,43.0
,ERNAKULAM,Masoor Dal,51.0
,ERNAKULAM,Masoor Dal,45.0
,ERNAKULAM,Masoor Dal,49.0
,ERNAKULAM,Masoor Dal,46.0
,ERNAKULAM,Masoor Dal,50.0
,HYDERABAD,Masoor Dal,57.0
,ERNAKULAM,Masoor Dal,47.0
,T.PURAM,Masoor Dal,50.0
,CHENNAI,Masoor Dal,44.0
,ERNAKULAM,Masoor Dal,48.0
,HYDERABAD,Masoor Dal,41.0
,HYDERABAD,Masoor Dal,38.0
,HYDERABAD,Masoor Dal,39.0
,HYDERABAD,Masoor Dal,40.0
,T.PURAM,Masoor Dal,64.0
,PUDUCHERRY,Masoor Dal,50.0
,PUDUCHERRY,Masoor Dal,55.0
,KOZHIKODE,Masoor Dal,64.0
,KOZHIKODE,Masoor Dal,65.0
,ERNAKULAM,Masoor Dal,56.0
,KOZHIKODE,Masoor Dal,62.0
,KOZHIKODE,Masoor Dal,63.0
,ERNAKULAM,Masoor Dal,57.0
,KOZHIKODE,Masoor Dal,66.0
,T.PURAM,Masoor Dal,48.0
,KOZHIKODE,Masoor Dal,60.0
,ERNAKULAM,Masoor Dal,59.0
,VISAKHAPATNAM,Masoor Dal,49.0
,KOZHIKODE,Masoor Dal,59.0
,VISAKHAPATNAM,Masoor Dal,50.0
,CHENNAI,Masoor Dal,53.0
,CHENNAI,Masoor Dal,56.0
,VISAKHAPATNAM,Masoor Dal,51.0
,VISAKHAPATNAM,Masoor Dal,52.0
,VISAKHAPATNAM,Masoor Dal,54.0
,CHENNAI,Masoor Dal,57.0
,KOZHIKODE,Masoor Dal,68.0
,KOZHIKODE,Masoor Dal,70.0
,CHENNAI,Masoor Dal,58.0
,CHENNAI,Masoor Dal,59.0
,CHENNAI,Masoor Dal,60.0
,CHENNAI,Masoor Dal,61.0
,CHENNAI,Masoor Dal,62.0
,PANAJI,Masoor Dal,60.0
,CHENNAI,Masoor Dal,63.0
,PANAJI,Masoor Dal,63.0
,CHENNAI,Masoor Dal,54.0
,CHENNAI,Masoor Dal,51.0
,CHENNAI,Masoor Dal,49.0
,PANAJI,Masoor Dal,65.0
,PANAJI,Masoor Dal,68.0
,CHENNAI,Masoor Dal,70.0
,PANAJI,Masoor Dal,73.0
,PUDUCHERRY,Masoor Dal,60.0
,CHENNAI,Masoor Dal,75.0
,PUDUCHERRY,Masoor Dal,65.0
,HYDERABAD,Masoor Dal,64.0
,HYDERABAD,Masoor Dal,65.0
,PANAJI,Masoor Dal,76.0
,CHENNAI,Masoor Dal,76.0
,ERNAKULAM,Masoor Dal,61.0
,ERNAKULAM,Masoor Dal,63.0
,VISAKHAPATNAM,Masoor Dal,56.0
,VISAKHAPATNAM,Masoor Dal,58.0
,ERNAKULAM,Masoor Dal,65.0
,VISAKHAPATNAM,Masoor Dal,60.0
,PUDUCHERRY,Masoor Dal,70.0
,COIMBATORE,Masoor Dal,70.0
,CHENNAI,Masoor Dal,74.0
,VISAKHAPATNAM,Masoor Dal,62.0
,HYDERABAD,Masoor Dal,67.0
,COIMBATORE,Masoor Dal,72.0
,PANAJI,Masoor Dal,80.0
,CHENNAI,Masoor Dal,79.0
,CHENNAI,Masoor Dal,80.0
,COIMBATORE,Masoor Dal,75.0
,ERNAKULAM,Masoor Dal,70.0
,ERNAKULAM,Masoor Dal,72.0
,PANAJI,Masoor Dal,85.0
,PUDUCHERRY,Masoor Dal,75.0
,COIMBATORE,Masoor Dal,76.0
,PANAJI,Masoor Dal,83.0
,COIMBATORE,Masoor Dal,78.0
,PALAKKAD,Masoor Dal,57.0
,WAYANAD,Masoor Dal,74.0
,PANAJI,Masoor Dal,88.0
,CHENNAI,Masoor Dal,86.0
,THRISSUR,Masoor Dal,78.0
,PUDUCHERRY,Masoor Dal,80.0
,VISAKHAPATNAM,Masoor Dal,65.0
,HYDERABAD,Masoor Dal,70.0
,CHENNAI,Masoor Dal,81.0
,T.PURAM,Masoor Dal,69.0
,COIMBATORE,Masoor Dal,74.0
,CHENNAI,Masoor Dal,71.0
,MANGALORE,Masoor Dal,75.0
,MYSORE,Masoor Dal,76.0
,MYSORE,Masoor Dal,80.0
,ERNAKULAM,Masoor Dal,74.0
,MYSORE,Masoor Dal,79.0
,COIMBATORE,Masoor Dal,77.0
