Date,Centre_Name,Commodity_Name,Price
,BENGALURU,Milk,12.0
,HYDERABAD,Milk,13.0
,T.PURAM,Milk,13.0
,HYDERABAD,Milk,14.0
,CHENNAI,Milk,14.0
,T.PURAM,Milk,14.0
,BENGALURU,Milk,13.0
,HYDERABAD,Milk,15.0
,T.PURAM,Milk,15.0
,T.PURAM,Milk,16.0
,HYDERABAD,Milk,16.0
,HYDERABAD,Milk,18.0
,BENGALURU,Milk,14.0
,CHENNAI,Milk,16.0
,T.PURAM,Milk,18.0
,CHENNAI,Milk,15.0
,T.PURAM,Milk,17.0
,BENGALURU,Milk,16.0
,T.PURAM,Milk,19.0
,CHENNAI,Milk,18.0
,HYDERABAD,Milk,20.0
,HYDERABAD,Milk,21.0
,T.PURAM,Milk,20.0
,HYDERABAD,Milk,22.0
,BENGALURU,Milk,18.0
,HYDERABAD,Milk,24.0
,CHENNAI,Milk,21.0
,HYDERABAD,Milk,25.0
,HYDERABAD,Milk,26.0
,HYDERABAD,Milk,27.0
,BENGALURU,Milk,19.0
,DINDIGUL,Milk,22.0
,T.PURAM,Milk,23.0
,HYDERABAD,Milk,28.0
,HYDERABAD,Milk,29.0
,BENGALURU,Milk,20.0
,DHARWAD,Milk,20.0
,THIRUCHIRAPALLI,Milk,24.0
,T.PURAM,Milk,24.0
,DHARWAD,Milk,23.0
,ERNAKULAM,Milk,24.0
,DHARWAD,Milk,26.0
,T.PURAM,Milk,26.0
,ERNAKULAM,Milk,25.0
,DHARWAD,Milk,24.0
,BENGALURU,Milk,21.0
,THIRUCHIRAPALLI,Milk,22.0
,DHARWAD,Milk,25.0
,HYDERABAD,Milk,30.0
,HYDERABAD,Milk,31.0
,HYDERABAD,Milk,32.0
,HYDERABAD,Milk,33.0
,T.PURAM,Milk,28.0
,CHENNAI,Milk,27.0
,DINDIGUL,Milk,24.0
,THIRUCHIRAPALLI,Milk,28.0
,DINDIGUL,Milk,28.0
,BENGALURU,Milk,24.0
,DHARWAD,Milk,27.0
,DHARWAD,Milk,28.0
,ERNAKULAM,Milk,27.0
,ERNAKULAM,Milk,28.0
,ERNAKULAM,Milk,30.0
,T.PURAM,Milk,27.0
,ERNAKULAM,Milk,31.0
,THIRUCHIRAPALLI,Milk,30.0
,DINDIGUL,Milk,30.0
,HYDERABAD,Milk,34.0
,T.PURAM,Milk,25.0
,PUDUCHERRY,Milk,26.0
,PUDUCHERRY,Milk,29.0
,T.PURAM,Milk,30.0
,T.PURAM,Milk,33.0
,ERNAKULAM,Milk,32.0
,ERNAKULAM,Milk,34.0
,T.PURAM,Milk,40.0
,KOZHIKODE,Milk,35.0
,KOZHIKODE,Milk,34.0
,T.PURAM,Milk,36.0
,T.PURAM,Milk,34.0
,T.PURAM,Milk,35.0
,DHARWAD,Milk,32.0
,DHARWAD,Milk,38.0
,DHARWAD,Milk,39.0
,BENGALURU,Milk,28.0
,BENGALURU,Milk,27.0
,VISAKHAPATNAM,Milk,34.0
,DHARWAD,Milk,40.0
,KOZHIKODE,Milk,36.0
,DINDIGUL,Milk,32.0
,DHARWAD,Milk,41.0
,BENGALURU,Milk,29.0
,DHARWAD,Milk,37.0
,HYDERABAD,Milk,36.0
,HYDERABAD,Milk,37.0
,PANAJI,Milk,38.0
,PANAJI,Milk,40.0
,PANAJI,Milk,42.0
,VISAKHAPATNAM,Milk,36.0
,HYDERABAD,Milk,39.0
,HYDERABAD,Milk,40.0
,ERNAKULAM,Milk,36.0
,THIRUCHIRAPALLI,Milk,29.0
,PANAJI,Milk,44.0
,ERNAKULAM,Milk,38.0
,DHARWAD,Milk,42.0
,COIMBATORE,Milk,27.0
,TIRUNELVELI,Milk,27.0
,CHENNAI,Milk,37.0
,COIMBATORE,Milk,37.0
,TIRUNELVELI,Milk,37.0
,DINDIGUL,Milk,34.0
,THIRUCHIRAPALLI,Milk,35.0
,T.PURAM,Milk,38.0
,PUDUCHERRY,Milk,36.0
,THRISSUR,Milk,39.0
,PALAKKAD,Milk,36.0
,WAYANAD,Milk,39.0
,THRISSUR,Milk,38.0
,MANGALORE,Milk,30.0
,MYSORE,Milk,30.0
