Date,Centre_Name,Commodity_Name,Price
,CHENNAI,Moong Dal,42.0
,CHENNAI,Moong Dal,40.0
,CHENNAI,Moong Dal,38.0
,CHENNAI,Moong Dal,37.0
,CHENNAI,Moong Dal,36.0
,CHENNAI,Moong Dal,35.0
,CHENNAI,Moong Dal,39.0
,CHENNAI,Moong Dal,45.0
,BENGALURU,Moong Dal,42.0
,CHENNAI,Moong Dal,46.0
,BENGALURU,Moong Dal,41.0
,BENGALURU,Moong Dal,43.0
,T.PURAM,Moong Dal,52.0
,HYDERABAD,Moong Dal,40.0
,T.PURAM,Moong Dal,50.0
,T.PURAM,Moong Dal,48.0
,BENGALURU,Moong Dal,40.0
,CHENNAI,Moong Dal,48.0
,CHENNAI,Moong Dal,50.0
,BENGALURU,Moong Dal,44.0
,BENGALURU,Moong Dal,45.0
,BENGALURU,Moong Dal,47.0
,BENGALURU,Moong Dal,48.0
,HYDERABAD,Moong Dal,43.0
,BENGALURU,Moong Dal,50.0
,BENGALURU,Moong Dal,52.0
,CHENNAI,Moong Dal,53.0
,HYDERABAD,Moong Dal,47.0
,HYDERABAD,Moong Dal,52.0
,CHENNAI,Moong Dal,55.0
,T.PURAM,Moong Dal,54.0
,BENGALURU,Moong Dal,55.0
,T.PURAM,Moong Dal,56.0
,BENGALURU,Moong Dal,56.0
,T.PURAM,Moong Dal,58.0
,T.PURAM,Moong Dal,60.0
,CHENNAI,Moong Dal,56.0
,T.PURAM,Moong Dal,63.0
,T.PURAM,Moong Dal,62.0
,CHENNAI,Moong Dal,58.0
,HYDERABAD,Moong Dal,55.0
,HYDERABAD,Moong Dal,60.0
,HYDERABAD,Moong Dal,62.0
,BENGALURU,Moong Dal,54.0
,BENGALURU,Moong Dal,58.0
,BENGALURU,Moong Dal,60.0
,CHENNAI,Moong Dal,63.0
,CHENNAI,Moong Dal,68.0
,CHENNAI,Moong Dal,66.0
,BENGALURU,Moong Dal,62.0
,HYDERABAD,Moong Dal,68.0
,BENGALURU,Moong Dal,64.0
,HYDERABAD,Moong Dal,66.0
,CHENNAI,Moong Dal,64.0
,BENGALURU,Moong Dal,66.0
,T.PURAM,Moong Dal,72.0
,BENGALURU,Moong Dal,68.0
,BENGALURU,Moong Dal,74.0
,CHENNAI,Moong Dal,72.0
,BENGALURU,Moong Dal,72.0
,BENGALURU,Moong Dal,78.0
,CHENNAI,Moong Dal,76.0
,CHENNAI,Moong Dal,82.0
,BENGALURU,Moong Dal,83.0
,BENGALURU,Moong Dal,84.0
,CHENNAI,Moong Dal,85.0
,HYDERABAD,Moong Dal,70.0
,CHENNAI,Moong Dal,90.0
,HYDERABAD,Moong Dal,75.0
,BENGALURU,Moong Dal,82.0
,HYDERABAD,Moong Dal,83.0
,T.PURAM,Moong Dal,74.0
,CHENNAI,Moong Dal,88.0
,BENGALURU,Moong Dal,81.0
,BENGALURU,Moong Dal,85.0
,T.PURAM,Moong Dal,78.0
,T.PURAM,Moong Dal,82.0
,T.PURAM,Moong Dal,84.0
,BENGALURU,Moong Dal,80.0
,T.PURAM,Moong Dal,86.0
,T.PURAM,Moong Dal,88.0
,T.PURAM,Moong Dal,90.0
,HYDERABAD,Moong Dal,80.0
,CHENNAI,Moong Dal,80.0
,HYDERABAD,Moong Dal,76.0
,HYDERABAD,Moong Dal,79.0
,HYDERABAD,Moong Dal,78.0
,T.PURAM,Moong Dal,71.0
,T.PURAM,Moong Dal,73.0
,T.PURAM,Moong Dal,76.0
,CHENNAI,Moong Dal,84.0
,BENGALURU,Moong Dal,90.0
,DINDIGUL,Moong Dal,85.0
,BENGALURU,Moong Dal,91.0
,DINDIGUL,Moong Dal,88.0
,T.PURAM,Moong Dal,79.0
,BENGALURU,Moong Dal,86.0
,DINDIGUL,Moong Dal,83.0
,DINDIGUL,Moong Dal,87.0
,BENGALURU,Moong Dal,88.0
,CHENNAI,Moong Dal,92.0
,HYDERABAD,Moong Dal,82.0
,BENGALURU,Moong Dal,87.0
