Date,Centre_Name,Commodity_Name,Price
,BENGALURU,Palm Oil (Packed),41.0
,T.PURAM,Palm Oil (Packed),37.0
,CHENNAI,Palm Oil (Packed),36.0
,T.PURAM,Palm Oil (Packed),39.0
,CHENNAI,Palm Oil (Packed),39.0
,T.PURAM,Palm Oil (Packed),40.0
,CHENNAI,Palm Oil (Packed),48.0
,BENGALURU,Palm Oil (Packed),51.0
,T.PURAM,Palm Oil (Packed),47.0
,CHENNAI,Palm Oil (Packed),44.0
,BENGALURU,Palm Oil (Packed),48.0
,T.PURAM,Palm Oil (Packed),45.0
,CHENNAI,Palm Oil (Packed),42.0
,BENGALURU,Palm Oil (Packed),46.0
,BENGALURU,Palm Oil (Packed),44.0
,BENGALURU,Palm Oil (Packed),42.0
,CHENNAI,Palm Oil (Packed),37.0
,BENGALURU,Palm Oil (Packed),40.0
,BENGALURU,Palm Oil (Packed),39.0
,CHENNAI,Palm Oil (Packed),38.0
,BENGALURU,Palm Oil (Packed),43.0
,CHENNAI,Palm Oil (Packed),41.0
,BENGALURU,Palm Oil (Packed),45.0
,T.PURAM,Palm Oil (Packed),42.0
,T.PURAM,Palm Oil (Packed),46.0
,T.PURAM,Palm Oil (Packed),44.0
,HYDERABAD,Palm Oil (Packed),41.0
,HYDERABAD,Palm Oil (Packed),40.0
,CHENNAI,Palm Oil (Packed),43.0
,HYDERABAD,Palm Oil (Packed),42.0
,HYDERABAD,Palm Oil (Packed),44.0
,HYDERABAD,Palm Oil (Packed),43.0
,DINDIGUL,Palm Oil (Packed),42.0
,DINDIGUL,Palm Oil (Packed),43.0
,HYDERABAD,Palm Oil (Packed),45.0
,T.PURAM,Palm Oil (Packed),48.0
,HYDERABAD,Palm Oil (Packed),47.0
,HYDERABAD,Palm Oil (Packed),50.0
,T.PURAM,Palm Oil (Packed),51.0
,CHENNAI,Palm Oil (Packed),45.0
,HYDERABAD,Palm Oil (Packed),46.0
,DINDIGUL,Palm Oil (Packed),45.0
,BENGALURU,Palm Oil (Packed),50.0
,T.PURAM,Palm Oil (Packed),50.0
,HYDERABAD,Palm Oil (Packed),48.0
,T.PURAM,Palm Oil (Packed),53.0
,DINDIGUL,Palm Oil (Packed),48.0
,T.PURAM,Palm Oil (Packed),54.0
,HYDERABAD,Palm Oil (Packed),51.0
,CHENNAI,Palm Oil (Packed),49.0
,CHENNAI,Palm Oil (Packed),50.0
,DINDIGUL,Palm Oil (Packed),53.0
,DINDIGUL,Palm Oil (Packed),50.0
,HYDERABAD,Palm Oil (Packed),54.0
,HYDERABAD,Palm Oil (Packed),56.0
,BENGALURU,Palm Oil (Packed),55.0
,DINDIGUL,Palm Oil (Packed),52.0
,BENGALURU,Palm Oil (Packed),54.0
,HYDERABAD,Palm Oil (Packed),55.0
,HYDERABAD,Palm Oil (Packed),53.0
,DHARWAD,Palm Oil (Packed),54.0
,BENGALURU,Palm Oil (Packed),58.0
,HYDERABAD,Palm Oil (Packed),52.0
,DINDIGUL,Palm Oil (Packed),49.0
,THIRUCHIRAPALLI,Palm Oil (Packed),49.0
,DHARWAD,Palm Oil (Packed),52.0
,BENGALURU,Palm Oil (Packed),57.0
,BENGALURU,Palm Oil (Packed),52.0
,THIRUCHIRAPALLI,Palm Oil (Packed),48.0
,CHENNAI,Palm Oil (Packed),52.0
,BENGALURU,Palm Oil (Packed),53.0
,THIRUCHIRAPALLI,Palm Oil (Packed),50.0
,BENGALURU,Palm Oil (Packed),56.0
,HYDERABAD,Palm Oil (Packed),58.0
,T.PURAM,Palm Oil (Packed),52.0
,CHENNAI,Palm Oil (Packed),51.0
,HYDERABAD,Palm Oil (Packed),57.0
,CHENNAI,Palm Oil (Packed),54.0
,DINDIGUL,Palm Oil (Packed),55.0
,THIRUCHIRAPALLI,Palm Oil (Packed),55.0
,CHENNAI,Palm Oil (Packed),56.0
,CHENNAI,Palm Oil (Packed),55.0
,BENGALURU,Palm Oil (Packed),60.0
,DHARWAD,Palm Oil (Packed),56.0
,DINDIGUL,Palm Oil (Packed),58.0
,T.PURAM,Palm Oil (Packed),59.0
,T.PURAM,Palm Oil (Packed),63.0
,BENGALURU,Palm Oil (Packed),59.0
,DHARWAD,Palm Oil (Packed),58.0
,T.PURAM,Palm Oil (Packed),62.0
,T.PURAM,Palm Oil (Packed),64.0
,T.PURAM,Palm Oil (Packed),60.0
,CHENNAI,Palm Oil (Packed),57.0
,THIRUCHIRAPALLI,Palm Oil (Packed),58.0
,CHENNAI,Palm Oil (Packed),58.0
,DINDIGUL,Palm Oil (Packed),60.0
,T.PURAM,Palm Oil (Packed),65.0
,THIRUCHIRAPALLI,Palm Oil (Packed),56.0
,THIRUCHIRAPALLI,Palm Oil (Packed),59.0
,BENGALURU,Palm Oil (Packed),61.0
,HYDERABAD,Palm Oil (Packed),61.0
,CHENNAI,Palm Oil (Packed),59.0
,DINDIGUL,Palm Oil (Packed),62.0
,BENGALURU,Palm Oil (Packed),62.0
,DHARWAD,Palm Oil (Packed),62.0
,CHENNAI,Palm Oil (Packed),60.0
,DHARWAD,Palm Oil (Packed),63.0
,CHENNAI,Palm Oil (Packed),61.0
,DINDIGUL,Palm Oil (Packed),63.0
,BENGALURU,Palm Oil (Packed),66.0
,BENGALURU,Palm Oil (Packed),68.0
,DHARWAD,Palm Oil (Packed),64.0
,ERNAKULAM,Palm Oil (Packed),53.0
,THIRUCHIRAPALLI,Palm Oil (Packed),62.0
,HYDERABAD,Palm Oil (Packed),63.0
,ERNAKULAM,Palm Oil (Packed),65.0
,T.PURAM,Palm Oil (Packed),55.0
,ERNAKULAM,Palm Oil (Packed),66.0
,CHENNAI,Palm Oil (Packed),62.0
,BENGALURU,Palm Oil (Packed),67.0
,DHARWAD,Palm Oil (Packed),69.0
,HYDERABAD,Palm Oil (Packed),65.0
,DHARWAD,Palm Oil (Packed),70.0
,CHENNAI,Palm Oil (Packed),63.0
,DINDIGUL,Palm Oil (Packed),65.0
,THIRUCHIRAPALLI,Palm Oil (Packed),64.0
,HYDERABAD,Palm Oil (Packed),66.0
,DHARWAD,Palm Oil (Packed),66.0
,T.PURAM,Palm Oil (Packed),66.0
,T.PURAM,Palm Oil (Packed),71.0
,ERNAKULAM,Palm Oil (Packed),67.0
,DHARWAD,Palm Oil (Packed),65.0
,HYDERABAD,Palm Oil (Packed),67.0
,BENGALURU,Palm Oil (Packed),65.0
,HYDERABAD,Palm Oil (Packed),64.0
,T.PURAM,Palm Oil (Packed),68.0
,DINDIGUL,Palm Oil (Packed),61.0
,THIRUCHIRAPALLI,Palm Oil (Packed),60.0
,BENGALURU,Palm Oil (Packed),63.0
,DHARWAD,Palm Oil (Packed),61.0
,HYDERABAD,Palm Oil (Packed),62.0
,HYDERABAD,Palm Oil (Packed),60.0
,HYDERABAD,Palm Oil (Packed),59.0
,ERNAKULAM,Palm Oil (Packed),64.0
,DINDIGUL,Palm Oil (Packed),64.0
,BENGALURU,Palm Oil (Packed),64.0
,DHARWAD,Palm Oil (Packed),59.0
,ERNAKULAM,Palm Oil (Packed),68.0
,THIRUCHIRAPALLI,Palm Oil (Packed),57.0
,DINDIGUL,Palm Oil (Packed),59.0
,THIRUCHIRAPALLI,Palm Oil (Packed),61.0
,THIRUCHIRAPALLI,Palm Oil (Packed),63.0
,T.PURAM,Palm Oil (Packed),72.0
,T.PURAM,Palm Oil (Packed),75.0
,ERNAKULAM,Palm Oil (Packed),70.0
,CHENNAI,Palm Oil (Packed),64.0
,CHENNAI,Palm Oil (Packed),66.0
,T.PURAM,Palm Oil (Packed),74.0
,ERNAKULAM,Palm Oil (Packed),69.0
,CHENNAI,Palm Oil (Packed),67.0
