Date,Centre_Name,Commodity_Name,Price
,BENGALURU,Potato,4.0
,T.PURAM,Potato,6.0
,CHENNAI,Potato,6.0
,HYDERABAD,Potato,6.0
,BENGALURU,Potato,5.0
,T.PURAM,Potato,10.0
,CHENNAI,Potato,7.0
,HYDERABAD,Potato,4.5
,CHENNAI,Potato,5.0
,HYDERABAD,Potato,4.0
,T.PURAM,Potato,8.0
,BENGALURU,Potato,3.0
,HYDERABAD,Potato,5.0
,T.PURAM,Potato,9.0
,CHENNAI,Potato,4.0
,T.PURAM,Potato,7.0
,CHENNAI,Potato,3.0
,CHENNAI,Potato,2.0
,CHENNAI,Potato,3.5
,HYDERABAD,Potato,5.5
,T.PURAM,Potato,7.5
,CHENNAI,Potato,4.5
,CHENNAI,Potato,5.5
,BENGALURU,Potato,4.5
,BENGALURU,Potato,6.0
,T.PURAM,Potato,8.5
,BENGALURU,Potato,5.5
,BENGALURU,Potato,7.0
,T.PURAM,Potato,11.0
,T.PURAM,Potato,12.0
,BENGALURU,Potato,8.0
,BENGALURU,Potato,9.0
,BENGALURU,Potato,10.0
,T.PURAM,Potato,6.5
,CHENNAI,Potato,9.0
,CHENNAI,Potato,8.0
,CHENNAI,Potato,10.0
,T.PURAM,Potato,13.0
,T.PURAM,Potato,14.0
,T.PURAM,Potato,13.5
,T.PURAM,Potato,11.5
,HYDERABAD,Potato,10.0
,HYDERABAD,Potato,9.5
,HYDERABAD,Potato,8.0
,HYDERABAD,Potato,8.5
,HYDERABAD,Potato,7.5
,T.PURAM,Potato,9.5
,HYDERABAD,Potato,7.0
,HYDERABAD,Potato,9.0
,HYDERABAD,Potato,10.5
,HYDERABAD,Potato,11.0
,BENGALURU,Potato,11.0
,BENGALURU,Potato,13.0
,BENGALURU,Potato,8.5
,HYDERABAD,Potato,6.5
,T.PURAM,Potato,12.8
,BENGALURU,Potato,12.0
,T.PURAM,Potato,12.5
,BENGALURU,Potato,6.5
,BENGALURU,Potato,10.5
,T.PURAM,Potato,9.6
,T.PURAM,Potato,9.4
,T.PURAM,Potato,8.4
,T.PURAM,Potato,10.4
,BENGALURU,Potato,7.5
,T.PURAM,Potato,15.0
,T.PURAM,Potato,13.8
,T.PURAM,Potato,13.4
,T.PURAM,Potato,12.4
,T.PURAM,Potato,13.2
,T.PURAM,Potato,11.2
,T.PURAM,Potato,12.6
,T.PURAM,Potato,16.0
,T.PURAM,Potato,16.4
,T.PURAM,Potato,14.8
,CHENNAI,Potato,11.0
,T.PURAM,Potato,11.8
,T.PURAM,Potato,8.6
,T.PURAM,Potato,7.2
,T.PURAM,Potato,6.8
,T.PURAM,Potato,10.2
,T.PURAM,Potato,14.4
,T.PURAM,Potato,13.6
,T.PURAM,Potato,12.25
,T.PURAM,Potato,14.75
,CHENNAI,Potato,12.0
,BENGALURU,Potato,14.0
,T.PURAM,Potato,15.25
,T.PURAM,Potato,15.5
,BENGALURU,Potato,15.0
,BENGALURU,Potato,16.0
,T.PURAM,Potato,18.0
,CHENNAI,Potato,13.0
,CHENNAI,Potato,14.0
,HYDERABAD,Potato,13.0
,CHENNAI,Potato,16.0
,T.PURAM,Potato,19.0
,T.PURAM,Potato,20.0
,T.PURAM,Potato,22.0
,T.PURAM,Potato,17.0
,HYDERABAD,Potato,12.0
,HYDERABAD,Potato,14.0
,CHENNAI,Potato,15.0
,T.PURAM,Potato,21.0
,T.PURAM,Potato,23.0
,HYDERABAD,Potato,16.0
,T.PURAM,Potato,26.0
,T.PURAM,Potato,25.0
,CHENNAI,Potato,18.0
,CHENNAI,Potato,20.0
,BENGALURU,Potato,17.0
,BENGALURU,Potato,20.0
,T.PURAM,Potato,28.0
,BENGALURU,Potato,22.0
,CHENNAI,Potato,25.0
