Date,Centre_Name,Commodity_Name,Price
1997-11-25,BENGALURU,Rice,9.0
1997-11-25,T.PURAM,Rice,11.5
1997-11-25,CHENNAI,Rice,9.0
1997-11-25,HYDERABAD,Rice,7.5
1997-11-26,BENGALURU,Rice,9.0
1997-11-26,T.PURAM,Rice,11.5
1997-11-26,CHENNAI,Rice,
1997-11-26,HYDERABAD,Rice,8.0
1997-11-27,BENGALURU,Rice,9.0
1997-11-27,T.PURAM,Rice,11.5
1997-11-27,CHENNAI,Rice,9.0
1997-11-27,HYDERABAD,Rice,8.0
1997-11-28,BENGALURU,Rice,9.0
1997-11-28,T.PURAM,Rice,11.5
1997-11-28,CHENNAI,Rice,9.0
1997-11-28,HYDERABAD,Rice,8.0
1997-12-01,BENGALURU,Rice,9.0
1997-12-01,T.PURAM,Rice,11.5
1997-12-01,CHENNAI,Rice,9.0
1997-12-01,HYDERABAD,Rice,8.0
1997-12-02,BENGALURU,Rice,9.0
1997-12-02,T.PURAM,Rice,11.5
1997-12-02,CHENNAI,Rice,9.0
1997-12-02,HYDERABAD,Rice,8.0
1997-12-03,BENGALURU,Rice,9.0
1997-12-03,T.PURAM,Rice,11.5
1997-12-03,CHENNAI,Rice,9.0
1997-12-03,HYDERABAD,Rice,8.0
1997-12-04,BENGALURU,Rice,9.0
1997-12-04,T.PURAM,Rice,11.5
1997-12-04,CHENNAI,Rice,9.0
1997-12-04,HYDERABAD,Rice,8.0
1997-12-05,BENGALURU,Rice,
1997-12-05,T.PURAM,Rice,11.5
1997-12-05,CHENNAI,Rice,
1997-12-05,HYDERABAD,Rice,8.0
1997-12-08,BENGALURU,Rice,
1997-12-08,T.PURAM,Rice,11.5
1997-12-08,CHENNAI,Rice,10.0
1997-12-08,HYDERABAD,Rice,8.0
1997-12-09,BENGALURU,Rice,
1997-12-09,T.PURAM,Rice,11.5
1997-12-09,CHENNAI,Rice,10.0
1997-12-09,HYDERABAD,Rice,8.0
1997-12-10,BENGALURU,Rice,
1997-12-10,T.PURAM,Rice,11.5
1997-12-10,CHENNAI,Rice,10.0
1997-12-10,HYDERABAD,Rice,8.0
1997-12-11,BENGALURU,Rice,
1997-12-11,T.PURAM,Rice,11.5
1997-12-11,CHENNAI,Rice,10.5
1997-12-11,HYDERABAD,Rice,8.0
1997-12-12,BENGALURU,Rice,
1997-12-12,T.PURAM,Rice,11.5
1997-12-12,CHENNAI,Rice,10.5
1997-12-12,HYDERABAD,Rice,8.0
1997-12-15,BENGALURU,Rice,
1997-12-15,T.PURAM,Rice,11.5
1997-12-15,CHENNAI,Rice,10.5
1997-12-15,HYDERABAD,Rice,8.0
1997-12-16,BENGALURU,Rice,10.0
1997-12-16,T.PURAM,Rice,11.5
1997-12-16,CHENNAI,Rice,10.5
1997-12-16,HYDERABAD,Rice,8.0
1997-12-17,BENGALURU,Rice,10.0
1997-12-17,T.PURAM,Rice,11.5
1997-12-17,CHENNAI,Rice,10.5
1997-12-17,HYDERABAD,Rice,8.0
1997-12-18,BENGALURU,Rice,10.0
1997-12-18,T.PURAM,Rice,11.5
1997-12-18,CHENNAI,Rice,10.5
1997-12-18,HYDERABAD,Rice,8.0
1997-12-19,BENGALURU,Rice,10.0
1997-12-19,T.PURAM,Rice,12.0
1997-12-19,CHENNAI,Rice,10.5
1997-12-19,HYDERABAD,Rice,8.0
1997-12-22,BENGALURU,Rice,10.0
1997-12-22,T.PURAM,Rice,12.0
1997-12-22,CHENNAI,Rice,10.5
1997-12-22,HYDERABAD,Rice,8.0
1997-12-23,BENGALURU,Rice,10.0
1997-12-23,T.PURAM,Rice,12.0
1997-12-23,CHENNAI,Rice,10.0
1997-12-23,HYDERABAD,Rice,8.0
1997-12-24,BENGALURU,Rice,9.0
1997-12-24,T.PURAM,Rice,12.0
1997-12-24,CHENNAI,Rice,10.0
1997-12-24,HYDERABAD,Rice,8.0
1997-12-26,BENGALURU,Rice,9.0
1997-12-26,T.PURAM,Rice,12.0
1997-12-26,CHENNAI,Rice,
1997-12-26,HYDERABAD,Rice,8.0
1997-12-29,BENGALURU,Rice,9.0
1997-12-29,T.PURAM,Rice,12.0
1997-12-29,CHENNAI,Rice,10.0
1997-12-29,HYDERABAD,Rice,8.0
1997-12-30,BENGALURU,Rice,9.0
1997-12-30,T.PURAM,Rice,12.0
1997-12-30,CHENNAI,Rice,10.0
1997-12-30,HYDERABAD,Rice,8.5
1997-12-31,BENGALURU,Rice,9.0
1997-12-31,T.PURAM,Rice,12.0
1997-12-31,CHENNAI,Rice,10.0
1997-12-31,HYDERABAD,Rice,8.5
1998-01-01,BENGALURU,Rice,9.0
1998-01-01,T.PURAM,Rice,12.0
1998-01-01,CHENNAI,Rice,10.0
1998-01-01,HYDERABAD,Rice,8.5
1998-01-02,BENGALURU,Rice,9.0
1998-01-02,T.PURAM,Rice,12.0
1998-01-02,CHENNAI,Rice,
1998-01-02,HYDERABAD,Rice,8.5
1998-01-05,BENGALURU,Rice,9.0
1998-01-05,T.PURAM,Rice,12.0
1998-01-05,CHENNAI,Rice,
1998-01-05,HYDERABAD,Rice,8.5
1998-01-06,BENGALURU,Rice,9.0
1998-01-06,T.PURAM,Rice,12.0
1998-01-06,CHENNAI,Rice,
1998-01-06,HYDERABAD,Rice,8.5
1998-01-07,BENGALURU,Rice,9.0
1998-01-07,T.PURAM,Rice,12.0
1998-01-07,CHENNAI,Rice,
1998-01-07,HYDERABAD,Rice,8.5
1998-01-08,BENGALURU,Rice,10.0
1998-01-08,T.PURAM,Rice,12.0
1998-01-08,CHENNAI,Rice,
1998-01-08,HYDERABAD,Rice,8.5
1998-01-09,BENGALURU,Rice,10.0
1998-01-09,T.PURAM,Rice,12.0
1998-01-09,CHENNAI,Rice,
1998-01-09,HYDERABAD,Rice,8.5
1998-01-12,BENGALURU,Rice,10.0
1998-01-12,T.PURAM,Rice,12.0
1998-01-12,CHENNAI,Rice,
1998-01-12,HYDERABAD,Rice,8.5
1998-01-13,BENGALURU,Rice,10.0
1998-01-13,T.PURAM,Rice,12.0
1998-01-13,CHENNAI,Rice,10.0
1998-01-13,HYDERABAD,Rice,8.5
1998-01-14,BENGALURU,Rice,10.0
1998-01-14,T.PURAM,Rice,12.2
1998-01-14,CHENNAI,Rice,10.0
1998-01-14,HYDERABAD,Rice,8.5
1998-01-15,BENGALURU,Rice,10.0
1998-01-15,T.PURAM,Rice,12.2
1998-01-15,CHENNAI,Rice,10.0
1998-01-15,HYDERABAD,Rice,8.5
1998-01-16,BENGALURU,Rice,10.0
1998-01-16,T.PURAM,Rice,12.2
1998-01-16,CHENNAI,Rice,10.0
1998-01-16,HYDERABAD,Rice,8.5
1998-01-19,BENGALURU,Rice,9.0
1998-01-19,T.PURAM,Rice,12.2
1998-01-19,CHENNAI,Rice,10.0
1998-01-19,HYDERABAD,Rice,8.5
1998-01-20,BENGALURU,Rice,9.0
1998-01-20,T.PURAM,Rice,12.2
1998-01-20,CHENNAI,Rice,10.0
1998-01-20,HYDERABAD,Rice,
1998-01-21,BENGALURU,Rice,9.0
1998-01-21,T.PURAM,Rice,12.2
1998-01-21,CHENNAI,Rice,10.0
1998-01-21,HYDERABAD,Rice,
1998-01-22,BENGALURU,Rice,9.0
1998-01-22,T.PURAM,Rice,12.2
1998-01-22,CHENNAI,Rice,10.0
1998-01-22,HYDERABAD,Rice,8.0
1998-01-23,BENGALURU,Rice,9.0
1998-01-23,T.PURAM,Rice,12.0
1998-01-23,CHENNAI,Rice,10.0
1998-01-23,HYDERABAD,Rice,8.0
1998-01-27,BENGALURU,Rice,9.0
