Date,Centre_Name,Commodity_Name,Price
,BENGALURU,Salt Pack (Iodised),7.0
,T.PURAM,Salt Pack (Iodised),4.5
,CHENNAI,Salt Pack (Iodised),7.0
,HYDERABAD,Salt Pack (Iodised),6.0
,HYDERABAD,Salt Pack (Iodised),5.5
,BENGALURU,Salt Pack (Iodised),7.5
,HYDERABAD,Salt Pack (Iodised),5.0
,CHENNAI,Salt Pack (Iodised),7.5
,T.PURAM,Salt Pack (Iodised),5.0
,CHENNAI,Salt Pack (Iodised),8.5
,T.PURAM,Salt Pack (Iodised),5.5
,T.PURAM,Salt Pack (Iodised),6.0
,CHENNAI,Salt Pack (Iodised),9.0
,HYDERABAD,Salt Pack (Iodised),7.0
,BENGALURU,Salt Pack (Iodised),9.0
,CHENNAI,Salt Pack (Iodised),10.0
,T.PURAM,Salt Pack (Iodised),7.0
,T.PURAM,Salt Pack (Iodised),9.0
,BENGALURU,Salt Pack (Iodised),11.0
,CHENNAI,Salt Pack (Iodised),11.0
,CHENNAI,Salt Pack (Iodised),12.0
,BENGALURU,Salt Pack (Iodised),12.0
,HYDERABAD,Salt Pack (Iodised),8.0
,HYDERABAD,Salt Pack (Iodised),10.0
,HYDERABAD,Salt Pack (Iodised),9.0
,T.PURAM,Salt Pack (Iodised),8.0
,DINDIGUL,Salt Pack (Iodised),12.0
,BENGALURU,Salt Pack (Iodised),5.0
,DINDIGUL,Salt Pack (Iodised),10.0
,DINDIGUL,Salt Pack (Iodised),9.0
,BENGALURU,Salt Pack (Iodised),13.0
,DHARWAD,Salt Pack (Iodised),12.0
,THIRUCHIRAPALLI,Salt Pack (Iodised),5.0
,BENGALURU,Salt Pack (Iodised),14.0
,THIRUCHIRAPALLI,Salt Pack (Iodised),6.0
,CHENNAI,Salt Pack (Iodised),14.0
,HYDERABAD,Salt Pack (Iodised),11.0
,BENGALURU,Salt Pack (Iodised),15.0
,DHARWAD,Salt Pack (Iodised),13.0
,ERNAKULAM,Salt Pack (Iodised),8.0
,ERNAKULAM,Salt Pack (Iodised),7.0
,DHARWAD,Salt Pack (Iodised),11.0
,THIRUCHIRAPALLI,Salt Pack (Iodised),10.0
,HYDERABAD,Salt Pack (Iodised),12.0
,DHARWAD,Salt Pack (Iodised),16.0
,THIRUCHIRAPALLI,Salt Pack (Iodised),11.0
,THIRUCHIRAPALLI,Salt Pack (Iodised),12.0
,CHENNAI,Salt Pack (Iodised),16.0
,PUDUCHERRY,Salt Pack (Iodised),15.0
,ERNAKULAM,Salt Pack (Iodised),9.0
,ERNAKULAM,Salt Pack (Iodised),12.0
,T.PURAM,Salt Pack (Iodised),10.0
,KOZHIKODE,Salt Pack (Iodised),11.0
,KOZHIKODE,Salt Pack (Iodised),10.0
,KOZHIKODE,Salt Pack (Iodised),9.0
,DINDIGUL,Salt Pack (Iodised),14.0
,DHARWAD,Salt Pack (Iodised),15.0
,ERNAKULAM,Salt Pack (Iodised),13.0
,DHARWAD,Salt Pack (Iodised),17.0
,VISAKHAPATNAM,Salt Pack (Iodised),10.0
,ERNAKULAM,Salt Pack (Iodised),14.0
,VISAKHAPATNAM,Salt Pack (Iodised),11.0
,VISAKHAPATNAM,Salt Pack (Iodised),12.0
,KOZHIKODE,Salt Pack (Iodised),13.0
,T.PURAM,Salt Pack (Iodised),12.0
,T.PURAM,Salt Pack (Iodised),11.0
,PANAJI,Salt Pack (Iodised),15.0
,PANAJI,Salt Pack (Iodised),16.0
,PUDUCHERRY,Salt Pack (Iodised),16.0
,CHENNAI,Salt Pack (Iodised),17.0
,THIRUCHIRAPALLI,Salt Pack (Iodised),13.0
,COIMBATORE,Salt Pack (Iodised),17.0
,TIRUNELVELI,Salt Pack (Iodised),16.0
,THIRUCHIRAPALLI,Salt Pack (Iodised),14.0
,KOZHIKODE,Salt Pack (Iodised),12.0
,THRISSUR,Salt Pack (Iodised),13.0
,PALAKKAD,Salt Pack (Iodised),10.0
,WAYANAD,Salt Pack (Iodised),12.0
,MANGALORE,Salt Pack (Iodised),16.0
,MYSORE,Salt Pack (Iodised),16.0
,MYSORE,Salt Pack (Iodised),15.0
,MYSORE,Salt Pack (Iodised),12.0
