Date,Centre_Name,Commodity_Name,Price
,BENGALURU,Sugar,15.0
,T.PURAM,Sugar,15.2
,CHENNAI,Sugar,14.5
,HYDERABAD,Sugar,15.0
,CHENNAI,Sugar,15.0
,HYDERABAD,Sugar,14.5
,HYDERABAD,Sugar,14.25
,BENGALURU,Sugar,14.5
,CHENNAI,Sugar,14.75
,HYDERABAD,Sugar,14.0
,T.PURAM,Sugar,15.3
,BENGALURU,Sugar,14.0
,T.PURAM,Sugar,14.8
,T.PURAM,Sugar,14.0
,HYDERABAD,Sugar,15.5
,CHENNAI,Sugar,15.25
,T.PURAM,Sugar,15.4
,T.PURAM,Sugar,15.5
,T.PURAM,Sugar,15.6
,CHENNAI,Sugar,16.0
,T.PURAM,Sugar,15.8
,T.PURAM,Sugar,16.3
,CHENNAI,Sugar,15.5
,BENGALURU,Sugar,16.0
,T.PURAM,Sugar,16.5
,HYDERABAD,Sugar,16.0
,T.PURAM,Sugar,17.0
,T.PURAM,Sugar,16.8
,T.PURAM,Sugar,16.0
,BENGALURU,Sugar,17.0
,CHENNAI,Sugar,14.0
,BENGALURU,Sugar,16.5
,CHENNAI,Sugar,15.75
,CHENNAI,Sugar,15.7
,CHENNAI,Sugar,15.3
,HYDERABAD,Sugar,15.25
,CHENNAI,Sugar,14.7
,HYDERABAD,Sugar,15.1
,HYDERABAD,Sugar,14.75
,CHENNAI,Sugar,14.2
,T.PURAM,Sugar,15.75
,T.PURAM,Sugar,16.25
,HYDERABAD,Sugar,15.2
,T.PURAM,Sugar,16.75
,CHENNAI,Sugar,15.2
,CHENNAI,Sugar,15.1
,CHENNAI,Sugar,14.8
,CHENNAI,Sugar,14.6
,T.PURAM,Sugar,15.0
,CHENNAI,Sugar,14.3
,CHENNAI,Sugar,14.4
,BENGALURU,Sugar,15.5
,BENGALURU,Sugar,15.6
,CHENNAI,Sugar,14.25
,CHENNAI,Sugar,13.8
,CHENNAI,Sugar,13.75
,HYDERABAD,Sugar,13.5
,CHENNAI,Sugar,13.6
,T.PURAM,Sugar,14.5
,CHENNAI,Sugar,13.5
,HYDERABAD,Sugar,13.0
,BENGALURU,Sugar,13.5
,T.PURAM,Sugar,14.4
,CHENNAI,Sugar,13.0
,T.PURAM,Sugar,13.8
,CHENNAI,Sugar,12.6
,BENGALURU,Sugar,13.3
,BENGALURU,Sugar,13.0
,HYDERABAD,Sugar,12.5
,CHENNAI,Sugar,12.5
,HYDERABAD,Sugar,12.0
,T.PURAM,Sugar,13.6
,CHENNAI,Sugar,12.25
,CHENNAI,Sugar,12.8
,HYDERABAD,Sugar,12.8
,CHENNAI,Sugar,13.7
,CHENNAI,Sugar,13.25
,T.PURAM,Sugar,16.6
,T.PURAM,Sugar,16.4
,T.PURAM,Sugar,17.25
,T.PURAM,Sugar,17.5
,CHENNAI,Sugar,16.25
,CHENNAI,Sugar,16.5
,HYDERABAD,Sugar,16.5
,HYDERABAD,Sugar,17.0
,T.PURAM,Sugar,18.0
,BENGALURU,Sugar,18.0
,T.PURAM,Sugar,17.8
,BENGALURU,Sugar,17.5
,T.PURAM,Sugar,17.6
,CHENNAI,Sugar,17.0
,T.PURAM,Sugar,18.5
,HYDERABAD,Sugar,17.5
,T.PURAM,Sugar,18.8
,CHENNAI,Sugar,17.5
,T.PURAM,Sugar,19.0
,HYDERABAD,Sugar,20.0
,T.PURAM,Sugar,20.5
,CHENNAI,Sugar,19.5
,BENGALURU,Sugar,19.0
,T.PURAM,Sugar,20.0
,CHENNAI,Sugar,19.0
,CHENNAI,Sugar,18.5
,HYDERABAD,Sugar,18.5
,T.PURAM,Sugar,19.8
,HYDERABAD,Sugar,19.0
,T.PURAM,Sugar,19.5
,CHENNAI,Sugar,18.0
,T.PURAM,Sugar,19.2
,HYDERABAD,Sugar,18.0
,T.PURAM,Sugar,18.6
,T.PURAM,Sugar,18.4
,BENGALURU,Sugar,20.0
,T.PURAM,Sugar,18.75
,T.PURAM,Sugar,19.25
,CHENNAI,Sugar,18.25
,BENGALURU,Sugar,21.0
,CHENNAI,Sugar,20.0
,T.PURAM,Sugar,21.0
,BENGALURU,Sugar,22.0
,T.PURAM,Sugar,22.0
,CHENNAI,Sugar,21.0
,T.PURAM,Sugar,23.0
,HYDERABAD,Sugar,21.0
,T.PURAM,Sugar,24.0
,CHENNAI,Sugar,22.0
,BENGALURU,Sugar,25.0
,CHENNAI,Sugar,25.0
,HYDERABAD,Sugar,24.0
,CHENNAI,Sugar,24.0
,T.PURAM,Sugar,25.0
,BENGALURU,Sugar,24.0
,BENGALURU,Sugar,23.0
,T.PURAM,Sugar,27.0
,HYDERABAD,Sugar,26.0
,BENGALURU,Sugar,26.0
,CHENNAI,Sugar,26.0
,T.PURAM,Sugar,26.0
,HYDERABAD,Sugar,25.0
,CHENNAI,Sugar,28.0
,T.PURAM,Sugar,29.0
,T.PURAM,Sugar,30.0
,BENGALURU,Sugar,29.0
,T.PURAM,Sugar,32.0
,BENGALURU,Sugar,31.0
,HYDERABAD,Sugar,31.0
,CHENNAI,Sugar,31.0
,HYDERABAD,Sugar,30.0
,T.PURAM,Sugar,33.0
,T.PURAM,Sugar,34.0
,BENGALURU,Sugar,30.0
,CHENNAI,Sugar,33.0
,CHENNAI,Sugar,30.0
,T.PURAM,Sugar,31.0
,T.PURAM,Sugar,35.0
,BENGALURU,Sugar,33.0
,BENGALURU,Sugar,35.0
,CHENNAI,Sugar,34.0
,HYDERABAD,Sugar,35.0
,HYDERABAD,Sugar,36.0
,BENGALURU,Sugar,32.0
,BENGALURU,Sugar,34.0
,BENGALURU,Sugar,36.0
,T.PURAM,Sugar,36.0
,T.PURAM,Sugar,37.0
,BENGALURU,Sugar,39.0
,T.PURAM,Sugar,39.0
,T.PURAM,Sugar,42.0
,T.PURAM,Sugar,43.0
,BENGALURU,Sugar,40.0
,CHENNAI,Sugar,42.0
,BENGALURU,Sugar,41.0
,T.PURAM,Sugar,44.0
,HYDERABAD,Sugar,41.0
,BENGALURU,Sugar,38.0
,T.PURAM,Sugar,40.0
,HYDERABAD,Sugar,39.0
,HYDERABAD,Sugar,38.0
,CHENNAI,Sugar,40.0
,CHENNAI,Sugar,38.0
,CHENNAI,Sugar,36.0
,CHENNAI,Sugar,35.0
,HYDERABAD,Sugar,40.0
,T.PURAM,Sugar,38.0
,HYDERABAD,Sugar,34.0
,HYDERABAD,Sugar,33.0
,CHENNAI,Sugar,32.0
,DINDIGUL,Sugar,32.0
,DINDIGUL,Sugar,31.0
,DINDIGUL,Sugar,30.0
,HYDERABAD,Sugar,32.0
,DINDIGUL,Sugar,29.0
,BENGALURU,Sugar,28.0
,CHENNAI,Sugar,29.0
,DINDIGUL,Sugar,28.0
,HYDERABAD,Sugar,29.0
,HYDERABAD,Sugar,28.0
,DHARWAD,Sugar,27.0
,DHARWAD,Sugar,28.0
,THIRUCHIRAPALLI,Sugar,28.0
,BENGALURU,Sugar,27.0
,THIRUCHIRAPALLI,Sugar,27.0
,T.PURAM,Sugar,28.0
,DHARWAD,Sugar,30.0
,THIRUCHIRAPALLI,Sugar,30.0
,DHARWAD,Sugar,29.0
,THIRUCHIRAPALLI,Sugar,31.0
,DHARWAD,Sugar,31.0
,DHARWAD,Sugar,32.0
,ERNAKULAM,Sugar,33.0
,ERNAKULAM,Sugar,32.0
,THIRUCHIRAPALLI,Sugar,29.0
,ERNAKULAM,Sugar,31.0
,ERNAKULAM,Sugar,30.0
,DHARWAD,Sugar,33.0
,THIRUCHIRAPALLI,Sugar,32.0
,DINDIGUL,Sugar,33.0
,DHARWAD,Sugar,34.0
,PUDUCHERRY,Sugar,32.0
,PUDUCHERRY,Sugar,33.0
,PUDUCHERRY,Sugar,34.0
,THIRUCHIRAPALLI,Sugar,33.0
,PUDUCHERRY,Sugar,35.0
,DINDIGUL,Sugar,34.0
,PUDUCHERRY,Sugar,36.0
,THIRUCHIRAPALLI,Sugar,35.0
,DINDIGUL,Sugar,35.0
,DINDIGUL,Sugar,36.0
,BENGALURU,Sugar,37.0
,ERNAKULAM,Sugar,34.0
,THIRUCHIRAPALLI,Sugar,36.0
,HYDERABAD,Sugar,37.0
,DHARWAD,Sugar,35.0
,PUDUCHERRY,Sugar,37.0
,CHENNAI,Sugar,37.0
,DINDIGUL,Sugar,37.0
,THIRUCHIRAPALLI,Sugar,37.0
,ERNAKULAM,Sugar,35.0
,PUDUCHERRY,Sugar,39.0
,PUDUCHERRY,Sugar,41.0
,CHENNAI,Sugar,39.0
,DINDIGUL,Sugar,38.0
,CHENNAI,Sugar,41.0
,DHARWAD,Sugar,36.0
,PUDUCHERRY,Sugar,42.0
,DINDIGUL,Sugar,39.0
,ERNAKULAM,Sugar,36.0
,THIRUCHIRAPALLI,Sugar,39.0
,ERNAKULAM,Sugar,37.0
,DINDIGUL,Sugar,40.0
,DHARWAD,Sugar,37.0
,THIRUCHIRAPALLI,Sugar,40.0
,PUDUCHERRY,Sugar,40.0
,THIRUCHIRAPALLI,Sugar,38.0
,ERNAKULAM,Sugar,39.0
,ERNAKULAM,Sugar,40.0
,PUDUCHERRY,Sugar,38.0
,ERNAKULAM,Sugar,38.0
,DHARWAD,Sugar,39.0
,T.PURAM,Sugar,41.0
,ERNAKULAM,Sugar,43.0
,ERNAKULAM,Sugar,44.0
,KOZHIKODE,Sugar,40.0
,DHARWAD,Sugar,40.0
,ERNAKULAM,Sugar,41.0
,KOZHIKODE,Sugar,39.0
,DHARWAD,Sugar,38.0
,KOZHIKODE,Sugar,38.0
,THIRUCHIRAPALLI,Sugar,34.0
,KOZHIKODE,Sugar,36.0
,KOZHIKODE,Sugar,35.0
,KOZHIKODE,Sugar,34.0
,VISAKHAPATNAM,Sugar,38.0
,VISAKHAPATNAM,Sugar,37.0
,VISAKHAPATNAM,Sugar,39.0
,PANAJI,Sugar,32.0
,PANAJI,Sugar,33.0
