Date,Centre_Name,Commodity_Name,Price
,BENGALURU,Sunflower Oil (Packed),68.0
,T.PURAM,Sunflower Oil (Packed),76.0
,CHENNAI,Sunflower Oil (Packed),62.0
,T.PURAM,Sunflower Oil (Packed),62.0
,CHENNAI,Sunflower Oil (Packed),58.0
,CHENNAI,Sunflower Oil (Packed),52.0
,BENGALURU,Sunflower Oil (Packed),57.0
,HYDERABAD,Sunflower Oil (Packed),49.0
,CHENNAI,Sunflower Oil (Packed),50.0
,BENGALURU,Sunflower Oil (Packed),52.0
,HYDERABAD,Sunflower Oil (Packed),47.0
,T.PURAM,Sunflower Oil (Packed),60.0
,HYDERABAD,Sunflower Oil (Packed),52.0
,CHENNAI,Sunflower Oil (Packed),48.0
,BENGALURU,Sunflower Oil (Packed),53.0
,BENGALURU,Sunflower Oil (Packed),50.0
,CHENNAI,Sunflower Oil (Packed),56.0
,BENGALURU,Sunflower Oil (Packed),51.0
,BENGALURU,Sunflower Oil (Packed),49.0
,BENGALURU,Sunflower Oil (Packed),54.0
,BENGALURU,Sunflower Oil (Packed),55.0
,BENGALURU,Sunflower Oil (Packed),56.0
,BENGALURU,Sunflower Oil (Packed),60.0
,CHENNAI,Sunflower Oil (Packed),57.0
,HYDERABAD,Sunflower Oil (Packed),54.0
,HYDERABAD,Sunflower Oil (Packed),53.0
,T.PURAM,Sunflower Oil (Packed),61.0
,DINDIGUL,Sunflower Oil (Packed),57.0
,T.PURAM,Sunflower Oil (Packed),64.0
,HYDERABAD,Sunflower Oil (Packed),55.0
,HYDERABAD,Sunflower Oil (Packed),64.0
,T.PURAM,Sunflower Oil (Packed),65.0
,HYDERABAD,Sunflower Oil (Packed),58.0
,HYDERABAD,Sunflower Oil (Packed),59.0
,HYDERABAD,Sunflower Oil (Packed),60.0
,T.PURAM,Sunflower Oil (Packed),66.0
,CHENNAI,Sunflower Oil (Packed),59.0
,HYDERABAD,Sunflower Oil (Packed),61.0
,HYDERABAD,Sunflower Oil (Packed),57.0
,BENGALURU,Sunflower Oil (Packed),58.0
,CHENNAI,Sunflower Oil (Packed),60.0
,CHENNAI,Sunflower Oil (Packed),61.0
,HYDERABAD,Sunflower Oil (Packed),63.0
,BENGALURU,Sunflower Oil (Packed),59.0
,DINDIGUL,Sunflower Oil (Packed),58.0
,HYDERABAD,Sunflower Oil (Packed),65.0
,BENGALURU,Sunflower Oil (Packed),64.0
,CHENNAI,Sunflower Oil (Packed),64.0
,CHENNAI,Sunflower Oil (Packed),65.0
,HYDERABAD,Sunflower Oil (Packed),68.0
,BENGALURU,Sunflower Oil (Packed),66.0
,HYDERABAD,Sunflower Oil (Packed),70.0
,HYDERABAD,Sunflower Oil (Packed),73.0
,HYDERABAD,Sunflower Oil (Packed),74.0
,DINDIGUL,Sunflower Oil (Packed),65.0
,HYDERABAD,Sunflower Oil (Packed),72.0
,DHARWAD,Sunflower Oil (Packed),68.0
,DHARWAD,Sunflower Oil (Packed),66.0
,THIRUCHIRAPALLI,Sunflower Oil (Packed),65.0
,BENGALURU,Sunflower Oil (Packed),67.0
,CHENNAI,Sunflower Oil (Packed),66.0
,HYDERABAD,Sunflower Oil (Packed),66.0
,BENGALURU,Sunflower Oil (Packed),73.0
,BENGALURU,Sunflower Oil (Packed),72.0
,CHENNAI,Sunflower Oil (Packed),67.0
,THIRUCHIRAPALLI,Sunflower Oil (Packed),66.0
