Date,Centre_Name,Commodity_Name,Price
,BENGALURU,Tea Loose,60.0
,T.PURAM,Tea Loose,90.75
,CHENNAI,Tea Loose,140.0
,HYDERABAD,Tea Loose,80.0
,HYDERABAD,Tea Loose,84.0
,HYDERABAD,Tea Loose,88.0
,CHENNAI,Tea Loose,157.5
,T.PURAM,Tea Loose,97.5
,HYDERABAD,Tea Loose,85.0
,CHENNAI,Tea Loose,155.0
,HYDERABAD,Tea Loose,72.0
,T.PURAM,Tea Loose,105.0
,HYDERABAD,Tea Loose,100.0
,T.PURAM,Tea Loose,110.0
,T.PURAM,Tea Loose,106.0
,BENGALURU,Tea Loose,110.0
,T.PURAM,Tea Loose,112.0
,HYDERABAD,Tea Loose,105.0
,BENGALURU,Tea Loose,120.0
,HYDERABAD,Tea Loose,110.0
,CHENNAI,Tea Loose,167.5
,T.PURAM,Tea Loose,104.0
,HYDERABAD,Tea Loose,120.0
,T.PURAM,Tea Loose,100.0
,T.PURAM,Tea Loose,120.0
,BENGALURU,Tea Loose,142.0
,BENGALURU,Tea Loose,143.0
,CHENNAI,Tea Loose,187.5
,CHENNAI,Tea Loose,182.5
,BENGALURU,Tea Loose,144.0
,BENGALURU,Tea Loose,162.0
,BENGALURU,Tea Loose,164.0
,BENGALURU,Tea Loose,146.0
,BENGALURU,Tea Loose,130.0
,T.PURAM,Tea Loose,130.0
,HYDERABAD,Tea Loose,90.0
,BENGALURU,Tea Loose,150.0
,BENGALURU,Tea Loose,132.0
,BENGALURU,Tea Loose,135.0
,BENGALURU,Tea Loose,134.0
,T.PURAM,Tea Loose,136.0
,HYDERABAD,Tea Loose,130.0
,BENGALURU,Tea Loose,80.0
,BENGALURU,Tea Loose,152.0
,BENGALURU,Tea Loose,148.0
,CHENNAI,Tea Loose,130.0
,BENGALURU,Tea Loose,116.0
,T.PURAM,Tea Loose,85.0
,T.PURAM,Tea Loose,75.0
,T.PURAM,Tea Loose,80.0
,HYDERABAD,Tea Loose,128.0
,T.PURAM,Tea Loose,95.0
,T.PURAM,Tea Loose,90.0
,BENGALURU,Tea Loose,128.0
,BENGALURU,Tea Loose,125.0
,T.PURAM,Tea Loose,92.0
,BENGALURU,Tea Loose,136.0
,CHENNAI,Tea Loose,120.0
,HYDERABAD,Tea Loose,86.0
,HYDERABAD,Tea Loose,87.0
,BENGALURU,Tea Loose,133.0
,HYDERABAD,Tea Loose,82.0
,CHENNAI,Tea Loose,125.0
,BENGALURU,Tea Loose,123.0
,BENGALURU,Tea Loose,138.0
,CHENNAI,Tea Loose,116.0
,T.PURAM,Tea Loose,138.0
,BENGALURU,Tea Loose,195.0
,BENGALURU,Tea Loose,196.0
,BENGALURU,Tea Loose,197.0
,BENGALURU,Tea Loose,198.0
,T.PURAM,Tea Loose,125.0
,T.PURAM,Tea Loose,135.0
,T.PURAM,Tea Loose,140.0
,BENGALURU,Tea Loose,200.0
,BENGALURU,Tea Loose,192.0
,T.PURAM,Tea Loose,144.0
,T.PURAM,Tea Loose,142.0
,BENGALURU,Tea Loose,190.0
