Date,Centre_Name,Commodity_Name,Price
,BENGALURU,Tomato,20.0
,T.PURAM,Tomato,35.0
,CHENNAI,Tomato,18.0
,T.PURAM,Tomato,10.0
,CHENNAI,Tomato,14.0
,BENGALURU,Tomato,12.0
,T.PURAM,Tomato,20.0
,CHENNAI,Tomato,20.0
,BENGALURU,Tomato,14.0
,CHENNAI,Tomato,16.0
,BENGALURU,Tomato,10.0
,T.PURAM,Tomato,16.0
,BENGALURU,Tomato,8.0
,T.PURAM,Tomato,14.0
,CHENNAI,Tomato,10.0
,BENGALURU,Tomato,6.0
,CHENNAI,Tomato,12.0
,BENGALURU,Tomato,19.0
,BENGALURU,Tomato,18.0
,BENGALURU,Tomato,16.0
,CHENNAI,Tomato,24.0
,BENGALURU,Tomato,24.0
,T.PURAM,Tomato,27.0
,T.PURAM,Tomato,18.0
,CHENNAI,Tomato,8.0
,CHENNAI,Tomato,6.0
,CHENNAI,Tomato,5.0
,T.PURAM,Tomato,22.0
,T.PURAM,Tomato,24.0
,HYDERABAD,Tomato,6.0
,CHENNAI,Tomato,9.0
,T.PURAM,Tomato,13.0
,HYDERABAD,Tomato,5.0
,BENGALURU,Tomato,9.0
,HYDERABAD,Tomato,8.0
,DINDIGUL,Tomato,10.0
,DINDIGUL,Tomato,8.0
,HYDERABAD,Tomato,9.0
,HYDERABAD,Tomato,10.0
,DINDIGUL,Tomato,15.0
,HYDERABAD,Tomato,14.0
,DINDIGUL,Tomato,20.0
,HYDERABAD,Tomato,12.0
,DINDIGUL,Tomato,18.0
,DINDIGUL,Tomato,16.0
,DINDIGUL,Tomato,12.0
,T.PURAM,Tomato,15.0
,HYDERABAD,Tomato,13.0
,CHENNAI,Tomato,30.0
,DINDIGUL,Tomato,22.0
,CHENNAI,Tomato,26.0
,CHENNAI,Tomato,22.0
,DINDIGUL,Tomato,25.0
,T.PURAM,Tomato,25.0
,DINDIGUL,Tomato,28.0
,CHENNAI,Tomato,32.0
,DINDIGUL,Tomato,30.0
,DINDIGUL,Tomato,40.0
,DINDIGUL,Tomato,35.0
,CHENNAI,Tomato,34.0
,HYDERABAD,Tomato,19.0
,CHENNAI,Tomato,28.0
,HYDERABAD,Tomato,21.0
,CHENNAI,Tomato,25.0
,DINDIGUL,Tomato,36.0
,DINDIGUL,Tomato,24.0
,HYDERABAD,Tomato,22.0
,T.PURAM,Tomato,26.0
,CHENNAI,Tomato,36.0
,HYDERABAD,Tomato,23.0
,CHENNAI,Tomato,38.0
,CHENNAI,Tomato,40.0
,HYDERABAD,Tomato,31.0
,HYDERABAD,Tomato,32.0
,CHENNAI,Tomato,35.0
,HYDERABAD,Tomato,29.0
,T.PURAM,Tomato,33.0
,HYDERABAD,Tomato,16.0
,HYDERABAD,Tomato,17.0
,BENGALURU,Tomato,11.0
,T.PURAM,Tomato,23.0
,HYDERABAD,Tomato,15.0
,DINDIGUL,Tomato,13.0
,CHENNAI,Tomato,15.0
,BENGALURU,Tomato,7.0
,CHENNAI,Tomato,13.0
,CHENNAI,Tomato,11.0
,DINDIGUL,Tomato,14.0
,CHENNAI,Tomato,19.0
,DINDIGUL,Tomato,17.0
,DHARWAD,Tomato,12.0
,THIRUCHIRAPALLI,Tomato,14.0
,THIRUCHIRAPALLI,Tomato,12.0
,THIRUCHIRAPALLI,Tomato,18.0
,CHENNAI,Tomato,17.0
,THIRUCHIRAPALLI,Tomato,15.0
,BENGALURU,Tomato,17.0
,CHENNAI,Tomato,23.0
,THIRUCHIRAPALLI,Tomato,16.0
,THIRUCHIRAPALLI,Tomato,8.0
,THIRUCHIRAPALLI,Tomato,10.0
,T.PURAM,Tomato,17.0
,BENGALURU,Tomato,23.0
,DHARWAD,Tomato,18.0
,HYDERABAD,Tomato,18.0
,T.PURAM,Tomato,19.0
,THIRUCHIRAPALLI,Tomato,20.0
,THIRUCHIRAPALLI,Tomato,30.0
,T.PURAM,Tomato,21.0
,HYDERABAD,Tomato,30.0
,BENGALURU,Tomato,31.0
,T.PURAM,Tomato,29.0
,CHENNAI,Tomato,33.0
