Date,Centre_Name,Commodity_Name,Price
,BENGALURU,Tur/Arhar Dal,22.0
,T.PURAM,Tur/Arhar Dal,27.0
,CHENNAI,Tur/Arhar Dal,24.0
,HYDERABAD,Tur/Arhar Dal,18.0
,HYDERABAD,Tur/Arhar Dal,19.0
,HYDERABAD,Tur/Arhar Dal,21.0
,CHENNAI,Tur/Arhar Dal,25.0
,BENGALURU,Tur/Arhar Dal,25.0
,CHENNAI,Tur/Arhar Dal,28.0
,HYDERABAD,Tur/Arhar Dal,23.0
,T.PURAM,Tur/Arhar Dal,28.0
,HYDERABAD,Tur/Arhar Dal,22.0
,BENGALURU,Tur/Arhar Dal,26.0
,CHENNAI,Tur/Arhar Dal,27.0
,T.PURAM,Tur/Arhar Dal,31.2
,BENGALURU,Tur/Arhar Dal,24.0
,T.PURAM,Tur/Arhar Dal,25.0
,BENGALURU,Tur/Arhar Dal,27.0
,T.PURAM,Tur/Arhar Dal,30.0
,BENGALURU,Tur/Arhar Dal,28.0
,HYDERABAD,Tur/Arhar Dal,24.0
,T.PURAM,Tur/Arhar Dal,26.0
,HYDERABAD,Tur/Arhar Dal,25.0
,T.PURAM,Tur/Arhar Dal,32.0
,HYDERABAD,Tur/Arhar Dal,27.0
,T.PURAM,Tur/Arhar Dal,31.0
,CHENNAI,Tur/Arhar Dal,29.0
,HYDERABAD,Tur/Arhar Dal,26.0
,T.PURAM,Tur/Arhar Dal,34.0
,BENGALURU,Tur/Arhar Dal,30.0
,HYDERABAD,Tur/Arhar Dal,29.0
,HYDERABAD,Tur/Arhar Dal,30.0
,BENGALURU,Tur/Arhar Dal,32.0
,CHENNAI,Tur/Arhar Dal,30.0
,BENGALURU,Tur/Arhar Dal,35.0
,T.PURAM,Tur/Arhar Dal,36.0
,CHENNAI,Tur/Arhar Dal,32.0
,BENGALURU,Tur/Arhar Dal,36.0
,CHENNAI,Tur/Arhar Dal,33.0
,CHENNAI,Tur/Arhar Dal,34.0
,HYDERABAD,Tur/Arhar Dal,31.0
,T.PURAM,Tur/Arhar Dal,38.3
,T.PURAM,Tur/Arhar Dal,38.5
,CHENNAI,Tur/Arhar Dal,35.0
,T.PURAM,Tur/Arhar Dal,39.5
,CHENNAI,Tur/Arhar Dal,37.0
,CHENNAI,Tur/Arhar Dal,38.0
,T.PURAM,Tur/Arhar Dal,40.0
,CHENNAI,Tur/Arhar Dal,39.0
,T.PURAM,Tur/Arhar Dal,38.0
,HYDERABAD,Tur/Arhar Dal,33.0
,BENGALURU,Tur/Arhar Dal,38.0
,BENGALURU,Tur/Arhar Dal,37.0
,HYDERABAD,Tur/Arhar Dal,36.0
,BENGALURU,Tur/Arhar Dal,43.0
,BENGALURU,Tur/Arhar Dal,46.0
,HYDERABAD,Tur/Arhar Dal,40.0
,T.PURAM,Tur/Arhar Dal,42.0
,T.PURAM,Tur/Arhar Dal,47.0
,BENGALURU,Tur/Arhar Dal,33.0
,CHENNAI,Tur/Arhar Dal,36.0
,HYDERABAD,Tur/Arhar Dal,35.0
,HYDERABAD,Tur/Arhar Dal,32.0
,T.PURAM,Tur/Arhar Dal,41.0
,BENGALURU,Tur/Arhar Dal,29.0
,T.PURAM,Tur/Arhar Dal,29.0
,BENGALURU,Tur/Arhar Dal,31.0
,T.PURAM,Tur/Arhar Dal,33.0
,T.PURAM,Tur/Arhar Dal,31.5
,BENGALURU,Tur/Arhar Dal,23.0
,T.PURAM,Tur/Arhar Dal,27.5
,HYDERABAD,Tur/Arhar Dal,23.5
,HYDERABAD,Tur/Arhar Dal,28.0
,HYDERABAD,Tur/Arhar Dal,28.5
,T.PURAM,Tur/Arhar Dal,32.5
,HYDERABAD,Tur/Arhar Dal,27.5
,T.PURAM,Tur/Arhar Dal,35.0
,T.PURAM,Tur/Arhar Dal,35.4
,CHENNAI,Tur/Arhar Dal,40.0
,CHENNAI,Tur/Arhar Dal,41.0
,HYDERABAD,Tur/Arhar Dal,22.5
,CHENNAI,Tur/Arhar Dal,26.0
,HYDERABAD,Tur/Arhar Dal,21.5
,HYDERABAD,Tur/Arhar Dal,21.25
,BENGALURU,Tur/Arhar Dal,20.0
,BENGALURU,Tur/Arhar Dal,21.0
,HYDERABAD,Tur/Arhar Dal,20.0
,T.PURAM,Tur/Arhar Dal,28.5
,T.PURAM,Tur/Arhar Dal,29.5
,HYDERABAD,Tur/Arhar Dal,18.75
,T.PURAM,Tur/Arhar Dal,37.0
,HYDERABAD,Tur/Arhar Dal,25.5
,HYDERABAD,Tur/Arhar Dal,26.5
,BENGALURU,Tur/Arhar Dal,34.0
,T.PURAM,Tur/Arhar Dal,33.5
,T.PURAM,Tur/Arhar Dal,35.5
,T.PURAM,Tur/Arhar Dal,37.4
,T.PURAM,Tur/Arhar Dal,39.0
,T.PURAM,Tur/Arhar Dal,37.5
,T.PURAM,Tur/Arhar Dal,36.5
,T.PURAM,Tur/Arhar Dal,36.4
,BENGALURU,Tur/Arhar Dal,40.0
,BENGALURU,Tur/Arhar Dal,39.0
,T.PURAM,Tur/Arhar Dal,30.2
,T.PURAM,Tur/Arhar Dal,32.25
,T.PURAM,Tur/Arhar Dal,33.25
,BENGALURU,Tur/Arhar Dal,41.0
,BENGALURU,Tur/Arhar Dal,42.0
,HYDERABAD,Tur/Arhar Dal,38.0
,T.PURAM,Tur/Arhar Dal,44.0
,CHENNAI,Tur/Arhar Dal,42.0
,CHENNAI,Tur/Arhar Dal,44.0
,HYDERABAD,Tur/Arhar Dal,37.0
,BENGALURU,Tur/Arhar Dal,45.0
,T.PURAM,Tur/Arhar Dal,46.0
,T.PURAM,Tur/Arhar Dal,48.0
,T.PURAM,Tur/Arhar Dal,50.0
,CHENNAI,Tur/Arhar Dal,45.0
,T.PURAM,Tur/Arhar Dal,52.0
,BENGALURU,Tur/Arhar Dal,44.0
,T.PURAM,Tur/Arhar Dal,45.0
,HYDERABAD,Tur/Arhar Dal,34.0
,CHENNAI,Tur/Arhar Dal,46.0
,CHENNAI,Tur/Arhar Dal,48.0
,HYDERABAD,Tur/Arhar Dal,42.0
,BENGALURU,Tur/Arhar Dal,47.0
,T.PURAM,Tur/Arhar Dal,55.0
,CHENNAI,Tur/Arhar Dal,50.0
,HYDERABAD,Tur/Arhar Dal,44.0
,CHENNAI,Tur/Arhar Dal,52.0
,CHENNAI,Tur/Arhar Dal,54.0
,CHENNAI,Tur/Arhar Dal,56.0
,T.PURAM,Tur/Arhar Dal,58.0
,CHENNAI,Tur/Arhar Dal,58.0
,BENGALURU,Tur/Arhar Dal,50.0
,CHENNAI,Tur/Arhar Dal,60.0
,CHENNAI,Tur/Arhar Dal,62.0
,HYDERABAD,Tur/Arhar Dal,47.0
,HYDERABAD,Tur/Arhar Dal,52.0
,T.PURAM,Tur/Arhar Dal,62.0
,BENGALURU,Tur/Arhar Dal,52.0
,HYDERABAD,Tur/Arhar Dal,50.0
,BENGALURU,Tur/Arhar Dal,56.0
,BENGALURU,Tur/Arhar Dal,55.0
,HYDERABAD,Tur/Arhar Dal,54.0
,HYDERABAD,Tur/Arhar Dal,56.0
,BENGALURU,Tur/Arhar Dal,60.0
,CHENNAI,Tur/Arhar Dal,65.0
,T.PURAM,Tur/Arhar Dal,64.0
,CHENNAI,Tur/Arhar Dal,68.0
,HYDERABAD,Tur/Arhar Dal,60.0
,CHENNAI,Tur/Arhar Dal,70.0
,HYDERABAD,Tur/Arhar Dal,65.0
,BENGALURU,Tur/Arhar Dal,64.0
,BENGALURU,Tur/Arhar Dal,65.0
,T.PURAM,Tur/Arhar Dal,68.0
,T.PURAM,Tur/Arhar Dal,72.0
,BENGALURU,Tur/Arhar Dal,68.0
,CHENNAI,Tur/Arhar Dal,75.0
,HYDERABAD,Tur/Arhar Dal,70.0
,BENGALURU,Tur/Arhar Dal,72.0
,T.PURAM,Tur/Arhar Dal,75.0
,BENGALURU,Tur/Arhar Dal,74.0
,T.PURAM,Tur/Arhar Dal,78.0
