Date,Centre_Name,Commodity_Name,Price
,CHENNAI,Urad Dal,42.0
,CHENNAI,Urad Dal,44.0
,CHENNAI,Urad Dal,40.0
,CHENNAI,Urad Dal,41.0
,CHENNAI,Urad Dal,38.0
,CHENNAI,Urad Dal,43.0
,CHENNAI,Urad Dal,45.0
,BENGALURU,Urad Dal,45.0
,CHENNAI,Urad Dal,46.0
,BENGALURU,Urad Dal,46.0
,T.PURAM,Urad Dal,50.0
,CHENNAI,Urad Dal,48.0
,HYDERABAD,Urad Dal,46.0
,BENGALURU,Urad Dal,44.0
,BENGALURU,Urad Dal,42.0
,CHENNAI,Urad Dal,47.0
,BENGALURU,Urad Dal,40.0
,T.PURAM,Urad Dal,46.0
,BENGALURU,Urad Dal,38.0
,CHENNAI,Urad Dal,50.0
,BENGALURU,Urad Dal,37.0
,T.PURAM,Urad Dal,47.0
,BENGALURU,Urad Dal,39.0
,HYDERABAD,Urad Dal,48.0
,CHENNAI,Urad Dal,52.0
,HYDERABAD,Urad Dal,52.0
,BENGALURU,Urad Dal,47.0
,T.PURAM,Urad Dal,52.0
,CHENNAI,Urad Dal,54.0
,CHENNAI,Urad Dal,56.0
,HYDERABAD,Urad Dal,55.0
,HYDERABAD,Urad Dal,60.0
,HYDERABAD,Urad Dal,62.0
,BENGALURU,Urad Dal,49.0
,T.PURAM,Urad Dal,55.0
,T.PURAM,Urad Dal,58.0
,BENGALURU,Urad Dal,52.0
,CHENNAI,Urad Dal,62.0
,HYDERABAD,Urad Dal,65.0
,T.PURAM,Urad Dal,60.0
,T.PURAM,Urad Dal,62.0
,CHENNAI,Urad Dal,66.0
,BENGALURU,Urad Dal,54.0
,T.PURAM,Urad Dal,65.0
,T.PURAM,Urad Dal,67.0
,T.PURAM,Urad Dal,69.0
,HYDERABAD,Urad Dal,66.0
,BENGALURU,Urad Dal,55.0
,BENGALURU,Urad Dal,57.0
,BENGALURU,Urad Dal,60.0
,CHENNAI,Urad Dal,64.0
,BENGALURU,Urad Dal,68.0
,T.PURAM,Urad Dal,68.0
,CHENNAI,Urad Dal,68.0
,T.PURAM,Urad Dal,70.0
,BENGALURU,Urad Dal,58.0
,CHENNAI,Urad Dal,82.0
,BENGALURU,Urad Dal,82.0
,BENGALURU,Urad Dal,80.0
,HYDERABAD,Urad Dal,68.0
,HYDERABAD,Urad Dal,76.0
,BENGALURU,Urad Dal,76.0
,HYDERABAD,Urad Dal,78.0
,BENGALURU,Urad Dal,72.0
,BENGALURU,Urad Dal,79.0
,BENGALURU,Urad Dal,77.0
,CHENNAI,Urad Dal,80.0
,HYDERABAD,Urad Dal,79.0
,T.PURAM,Urad Dal,75.0
,BENGALURU,Urad Dal,73.0
,CHENNAI,Urad Dal,78.0
,T.PURAM,Urad Dal,78.0
,BENGALURU,Urad Dal,75.0
,T.PURAM,Urad Dal,80.0
,T.PURAM,Urad Dal,82.0
,BENGALURU,Urad Dal,71.0
,T.PURAM,Urad Dal,84.0
,BENGALURU,Urad Dal,66.0
,CHENNAI,Urad Dal,76.0
,BENGALURU,Urad Dal,65.0
,HYDERABAD,Urad Dal,70.0
,BENGALURU,Urad Dal,61.0
,CHENNAI,Urad Dal,70.0
,HYDERABAD,Urad Dal,69.0
,CHENNAI,Urad Dal,65.0
,T.PURAM,Urad Dal,74.0
,BENGALURU,Urad Dal,62.0
,HYDERABAD,Urad Dal,58.0
,HYDERABAD,Urad Dal,57.0
,T.PURAM,Urad Dal,73.0
,HYDERABAD,Urad Dal,59.0
,T.PURAM,Urad Dal,79.0
,HYDERABAD,Urad Dal,61.0
,BENGALURU,Urad Dal,56.0
,BENGALURU,Urad Dal,67.0
,DINDIGUL,Urad Dal,72.0
,HYDERABAD,Urad Dal,67.0
,DINDIGUL,Urad Dal,68.0
,T.PURAM,Urad Dal,71.0
,DINDIGUL,Urad Dal,71.0
,CHENNAI,Urad Dal,72.0
,HYDERABAD,Urad Dal,74.0
,CHENNAI,Urad Dal,74.0
,DINDIGUL,Urad Dal,78.0
,HYDERABAD,Urad Dal,73.0
,DINDIGUL,Urad Dal,70.0
,CHENNAI,Urad Dal,75.0
,DINDIGUL,Urad Dal,73.0
,DINDIGUL,Urad Dal,83.0
,HYDERABAD,Urad Dal,77.0
,DINDIGUL,Urad Dal,80.0
,BENGALURU,Urad Dal,70.0
,DINDIGUL,Urad Dal,82.0
,HYDERABAD,Urad Dal,72.0
,BENGALURU,Urad Dal,74.0
,HYDERABAD,Urad Dal,82.0
,DINDIGUL,Urad Dal,79.0
,DINDIGUL,Urad Dal,75.0
,T.PURAM,Urad Dal,77.0
,HYDERABAD,Urad Dal,75.0
,DINDIGUL,Urad Dal,76.0
,HYDERABAD,Urad Dal,71.0
,DHARWAD,Urad Dal,79.0
,DINDIGUL,Urad Dal,74.0
,T.PURAM,Urad Dal,76.0
,THIRUCHIRAPALLI,Urad Dal,74.0
,THIRUCHIRAPALLI,Urad Dal,80.0
,THIRUCHIRAPALLI,Urad Dal,78.0
,DINDIGUL,Urad Dal,77.0
,DHARWAD,Urad Dal,75.0
,THIRUCHIRAPALLI,Urad Dal,82.0
,BENGALURU,Urad Dal,87.0
,THIRUCHIRAPALLI,Urad Dal,76.0
,BENGALURU,Urad Dal,78.0
,DHARWAD,Urad Dal,77.0
,THIRUCHIRAPALLI,Urad Dal,70.0
,DINDIGUL,Urad Dal,69.0
,THIRUCHIRAPALLI,Urad Dal,68.0
,DHARWAD,Urad Dal,76.0
,HYDERABAD,Urad Dal,64.0
,DINDIGUL,Urad Dal,67.0
,DHARWAD,Urad Dal,65.0
,DHARWAD,Urad Dal,69.0
,DHARWAD,Urad Dal,80.0
,THIRUCHIRAPALLI,Urad Dal,67.0
,DHARWAD,Urad Dal,74.0
,ERNAKULAM,Urad Dal,64.0
,DHARWAD,Urad Dal,70.0
,ERNAKULAM,Urad Dal,66.0
,DINDIGUL,Urad Dal,63.0
,ERNAKULAM,Urad Dal,65.0
,ERNAKULAM,Urad Dal,73.0
,HYDERABAD,Urad Dal,63.0
,DHARWAD,Urad Dal,61.0
,ERNAKULAM,Urad Dal,67.0
,THIRUCHIRAPALLI,Urad Dal,72.0
,T.PURAM,Urad Dal,72.0
,CHENNAI,Urad Dal,63.0
,DHARWAD,Urad Dal,82.0
,ERNAKULAM,Urad Dal,61.0
,T.PURAM,Urad Dal,66.0
,THIRUCHIRAPALLI,Urad Dal,64.0
,THIRUCHIRAPALLI,Urad Dal,66.0
,T.PURAM,Urad Dal,64.0
,ERNAKULAM,Urad Dal,62.0
,CHENNAI,Urad Dal,71.0
,THIRUCHIRAPALLI,Urad Dal,65.0
,DHARWAD,Urad Dal,84.0
,ERNAKULAM,Urad Dal,63.0
,DHARWAD,Urad Dal,78.0
,DHARWAD,Urad Dal,73.0
,THIRUCHIRAPALLI,Urad Dal,62.0
,DINDIGUL,Urad Dal,64.0
,THIRUCHIRAPALLI,Urad Dal,63.0
,DHARWAD,Urad Dal,71.0
,DINDIGUL,Urad Dal,62.0
,DHARWAD,Urad Dal,72.0
,ERNAKULAM,Urad Dal,68.0
,THIRUCHIRAPALLI,Urad Dal,60.0
,DINDIGUL,Urad Dal,60.0
,DINDIGUL,Urad Dal,59.0
,CHENNAI,Urad Dal,60.0
,DINDIGUL,Urad Dal,58.0
,THIRUCHIRAPALLI,Urad Dal,59.0
,THIRUCHIRAPALLI,Urad Dal,57.0
,BENGALURU,Urad Dal,69.0
,THIRUCHIRAPALLI,Urad Dal,58.0
,ERNAKULAM,Urad Dal,59.0
,ERNAKULAM,Urad Dal,57.0
,ERNAKULAM,Urad Dal,56.0
,CHENNAI,Urad Dal,58.0
,ERNAKULAM,Urad Dal,58.0
,PUDUCHERRY,Urad Dal,62.0
,ERNAKULAM,Urad Dal,60.0
,PUDUCHERRY,Urad Dal,64.0
,PUDUCHERRY,Urad Dal,66.0
,PUDUCHERRY,Urad Dal,70.0
,PUDUCHERRY,Urad Dal,68.0
,PUDUCHERRY,Urad Dal,65.0
,KOZHIKODE,Urad Dal,67.0
,DHARWAD,Urad Dal,81.0
,KOZHIKODE,Urad Dal,68.0
,DINDIGUL,Urad Dal,66.0
,DINDIGUL,Urad Dal,65.0
,T.PURAM,Urad Dal,61.0
,KOZHIKODE,Urad Dal,65.0
,KOZHIKODE,Urad Dal,63.0
,DHARWAD,Urad Dal,85.0
,KOZHIKODE,Urad Dal,62.0
,KOZHIKODE,Urad Dal,61.0
,VISAKHAPATNAM,Urad Dal,53.0
,KOZHIKODE,Urad Dal,59.0
,VISAKHAPATNAM,Urad Dal,56.0
,VISAKHAPATNAM,Urad Dal,58.0
,VISAKHAPATNAM,Urad Dal,55.0
,THIRUCHIRAPALLI,Urad Dal,61.0
,T.PURAM,Urad Dal,63.0
,KOZHIKODE,Urad Dal,60.0
,DINDIGUL,Urad Dal,61.0
,BENGALURU,Urad Dal,64.0
,CHENNAI,Urad Dal,61.0
,KOZHIKODE,Urad Dal,72.0
,KOZHIKODE,Urad Dal,64.0
,PUDUCHERRY,Urad Dal,75.0
,THIRUCHIRAPALLI,Urad Dal,69.0
,PUDUCHERRY,Urad Dal,80.0
,CHENNAI,Urad Dal,77.0
,ERNAKULAM,Urad Dal,71.0
,CHENNAI,Urad Dal,73.0
,PANAJI,Urad Dal,78.0
,ERNAKULAM,Urad Dal,75.0
,VISAKHAPATNAM,Urad Dal,57.0
,VISAKHAPATNAM,Urad Dal,60.0
,THIRUCHIRAPALLI,Urad Dal,73.0
,VISAKHAPATNAM,Urad Dal,62.0
,PUDUCHERRY,Urad Dal,83.0
,KOZHIKODE,Urad Dal,69.0
,KOZHIKODE,Urad Dal,70.0
,VISAKHAPATNAM,Urad Dal,64.0
,VISAKHAPATNAM,Urad Dal,67.0
,KOZHIKODE,Urad Dal,71.0
,KOZHIKODE,Urad Dal,73.0
,CHENNAI,Urad Dal,79.0
,BENGALURU,Urad Dal,84.0
,DHARWAD,Urad Dal,86.0
,DHARWAD,Urad Dal,89.0
,KOZHIKODE,Urad Dal,74.0
,BENGALURU,Urad Dal,94.0
,KOZHIKODE,Urad Dal,77.0
,KOZHIKODE,Urad Dal,79.0
,KOZHIKODE,Urad Dal,81.0
,KOZHIKODE,Urad Dal,83.0
,PUDUCHERRY,Urad Dal,85.0
,BENGALURU,Urad Dal,88.0
,DHARWAD,Urad Dal,88.0
,PUDUCHERRY,Urad Dal,90.0
,KOZHIKODE,Urad Dal,85.0
,KOZHIKODE,Urad Dal,87.0
,BENGALURU,Urad Dal,92.0
,BENGALURU,Urad Dal,91.0
,KOZHIKODE,Urad Dal,89.0
,CHENNAI,Urad Dal,84.0
,CHENNAI,Urad Dal,85.0
,KOZHIKODE,Urad Dal,90.0
,HYDERABAD,Urad Dal,84.0
,THIRUCHIRAPALLI,Urad Dal,88.0
,DINDIGUL,Urad Dal,85.0
,T.PURAM,Urad Dal,81.0
,PANAJI,Urad Dal,83.0
,DHARWAD,Urad Dal,91.0
,DHARWAD,Urad Dal,93.0
,DHARWAD,Urad Dal,95.0
,PUDUCHERRY,Urad Dal,88.0
,DINDIGUL,Urad Dal,88.0
,PANAJI,Urad Dal,90.0
,PANAJI,Urad Dal,91.0
,VISAKHAPATNAM,Urad Dal,70.0
,DINDIGUL,Urad Dal,90.0
,VISAKHAPATNAM,Urad Dal,72.0
,CHENNAI,Urad Dal,87.0
,PUDUCHERRY,Urad Dal,95.0
,THIRUCHIRAPALLI,Urad Dal,90.0
,ERNAKULAM,Urad Dal,76.0
,BENGALURU,Urad Dal,99.0
,T.PURAM,Urad Dal,83.0
,VISAKHAPATNAM,Urad Dal,74.0
,DINDIGUL,Urad Dal,93.0
,VISAKHAPATNAM,Urad Dal,76.0
,HYDERABAD,Urad Dal,86.0
,DHARWAD,Urad Dal,97.0
,DINDIGUL,Urad Dal,95.0
,DHARWAD,Urad Dal,99.0
,VISAKHAPATNAM,Urad Dal,78.0
,CHENNAI,Urad Dal,89.0
,DINDIGUL,Urad Dal,97.0
,COIMBATORE,Urad Dal,100.0
,TIRUNELVELI,Urad Dal,100.0
,THIRUCHIRAPALLI,Urad Dal,92.0
,VISAKHAPATNAM,Urad Dal,80.0
,CHENNAI,Urad Dal,91.0
,THIRUCHIRAPALLI,Urad Dal,94.0
,HYDERABAD,Urad Dal,88.0
,DHARWAD,Urad Dal,102.0
,THIRUCHIRAPALLI,Urad Dal,95.0
,CHENNAI,Urad Dal,90.0
,DINDIGUL,Urad Dal,98.0
,TIRUNELVELI,Urad Dal,101.0
,THIRUCHIRAPALLI,Urad Dal,97.0
,VISAKHAPATNAM,Urad Dal,82.0
,DINDIGUL,Urad Dal,100.0
,TIRUNELVELI,Urad Dal,102.0
,VISAKHAPATNAM,Urad Dal,85.0
,HYDERABAD,Urad Dal,90.0
,THIRUCHIRAPALLI,Urad Dal,98.0
,THIRUCHIRAPALLI,Urad Dal,100.0
,DINDIGUL,Urad Dal,105.0
,DHARWAD,Urad Dal,103.0
,COIMBATORE,Urad Dal,98.0
,BENGALURU,Urad Dal,100.0
,DHARWAD,Urad Dal,100.0
,DINDIGUL,Urad Dal,102.0
,DHARWAD,Urad Dal,98.0
,COIMBATORE,Urad Dal,95.0
,COIMBATORE,Urad Dal,88.0
,TIRUNELVELI,Urad Dal,98.0
,TIRUNELVELI,Urad Dal,95.0
,DHARWAD,Urad Dal,96.0
,KOZHIKODE,Urad Dal,91.0
,TIRUNELVELI,Urad Dal,92.0
,COIMBATORE,Urad Dal,86.0
,TIRUNELVELI,Urad Dal,90.0
,TIRUNELVELI,Urad Dal,88.0
,COIMBATORE,Urad Dal,85.0
,BENGALURU,Urad Dal,98.0
,TIRUNELVELI,Urad Dal,85.0
,DINDIGUL,Urad Dal,91.0
,COIMBATORE,Urad Dal,82.0
,TIRUNELVELI,Urad Dal,82.0
,BENGALURU,Urad Dal,102.0
,THIRUCHIRAPALLI,Urad Dal,84.0
,COIMBATORE,Urad Dal,80.0
,KOZHIKODE,Urad Dal,95.0
,CHENNAI,Urad Dal,93.0
,DINDIGUL,Urad Dal,84.0
,TIRUNELVELI,Urad Dal,80.0
,PANAJI,Urad Dal,85.0
,BENGALURU,Urad Dal,104.0
,KOZHIKODE,Urad Dal,93.0
,CHENNAI,Urad Dal,86.0
,COIMBATORE,Urad Dal,83.0
,TIRUNELVELI,Urad Dal,84.0
,TIRUNELVELI,Urad Dal,86.0
,VISAKHAPATNAM,Urad Dal,86.0
,BENGALURU,Urad Dal,95.0
,HYDERABAD,Urad Dal,92.0
,KOZHIKODE,Urad Dal,88.0
,BENGALURU,Urad Dal,96.0
,KOZHIKODE,Urad Dal,84.0
,KOZHIKODE,Urad Dal,82.0
,KOZHIKODE,Urad Dal,80.0
,KOZHIKODE,Urad Dal,78.0
,THIRUCHIRAPALLI,Urad Dal,86.0
,KOZHIKODE,Urad Dal,76.0
,VISAKHAPATNAM,Urad Dal,88.0
,DINDIGUL,Urad Dal,86.0
,DHARWAD,Urad Dal,101.0
,DINDIGUL,Urad Dal,87.0
,HYDERABAD,Urad Dal,91.0
,THRISSUR,Urad Dal,82.0
,PALAKKAD,Urad Dal,84.0
,WAYANAD,Urad Dal,80.0
,TIRUNELVELI,Urad Dal,87.0
,THRISSUR,Urad Dal,84.0
,THIRUCHIRAPALLI,Urad Dal,87.0
,PALAKKAD,Urad Dal,89.0
,PALAKKAD,Urad Dal,90.0
,CHENNAI,Urad Dal,94.0
,VISAKHAPATNAM,Urad Dal,89.0
,BENGALURU,Urad Dal,97.0
,KOZHIKODE,Urad Dal,75.0
,THRISSUR,Urad Dal,85.0
,PALAKKAD,Urad Dal,93.0
,CHENNAI,Urad Dal,95.0
,MANGALORE,Urad Dal,100.0
,MYSORE,Urad Dal,92.0
,MYSORE,Urad Dal,90.0
,PANAJI,Urad Dal,88.0
,DINDIGUL,Urad Dal,89.0
