Date,Centre_Name,Commodity_Name,Price
,BENGALURU,Wheat,9.5
,T.PURAM,Wheat,12.0
,CHENNAI,Wheat,11.0
,HYDERABAD,Wheat,8.0
,HYDERABAD,Wheat,8.5
,CHENNAI,Wheat,10.5
,T.PURAM,Wheat,11.0
,BENGALURU,Wheat,10.0
,BENGALURU,Wheat,9.0
,T.PURAM,Wheat,9.0
,BENGALURU,Wheat,8.0
,CHENNAI,Wheat,11.5
,HYDERABAD,Wheat,11.0
,T.PURAM,Wheat,8.0
,HYDERABAD,Wheat,7.5
,T.PURAM,Wheat,12.5
,T.PURAM,Wheat,13.0
,BENGALURU,Wheat,10.5
,T.PURAM,Wheat,14.0
,BENGALURU,Wheat,11.0
,CHENNAI,Wheat,10.0
,T.PURAM,Wheat,10.0
,T.PURAM,Wheat,12.4
,BENGALURU,Wheat,9.8
,HYDERABAD,Wheat,9.0
,HYDERABAD,Wheat,10.0
,HYDERABAD,Wheat,9.5
,HYDERABAD,Wheat,10.5
,T.PURAM,Wheat,10.5
,HYDERABAD,Wheat,8.75
,BENGALURU,Wheat,12.0
,BENGALURU,Wheat,13.0
,BENGALURU,Wheat,11.5
,HYDERABAD,Wheat,12.0
,BENGALURU,Wheat,12.5
,CHENNAI,Wheat,12.0
,T.PURAM,Wheat,13.7
,T.PURAM,Wheat,12.8
,CHENNAI,Wheat,12.5
,T.PURAM,Wheat,15.5
,T.PURAM,Wheat,14.5
,T.PURAM,Wheat,14.8
,T.PURAM,Wheat,15.0
,T.PURAM,Wheat,16.0
,T.PURAM,Wheat,12.2
,T.PURAM,Wheat,13.5
,CHENNAI,Wheat,13.0
,BENGALURU,Wheat,14.0
,HYDERABAD,Wheat,13.0
,CHENNAI,Wheat,14.0
,T.PURAM,Wheat,17.0
,BENGALURU,Wheat,15.0
,BENGALURU,Wheat,16.0
,BENGALURU,Wheat,17.0
,BENGALURU,Wheat,18.0
,CHENNAI,Wheat,15.0
,CHENNAI,Wheat,16.0
,CHENNAI,Wheat,17.0
,T.PURAM,Wheat,18.0
,T.PURAM,Wheat,19.0
,T.PURAM,Wheat,20.0
,HYDERABAD,Wheat,14.0
,CHENNAI,Wheat,18.0
,T.PURAM,Wheat,21.0
,T.PURAM,Wheat,22.0
,CHENNAI,Wheat,19.0
,HYDERABAD,Wheat,17.0
,BENGALURU,Wheat,19.0
,CHENNAI,Wheat,21.0
,BENGALURU,Wheat,20.0
,T.PURAM,Wheat,25.0
,T.PURAM,Wheat,26.0
,BENGALURU,Wheat,22.0
,BENGALURU,Wheat,21.0
,CHENNAI,Wheat,22.0
,BENGALURU,Wheat,23.0
,HYDERABAD,Wheat,18.0
,HYDERABAD,Wheat,19.0
,DINDIGUL,Wheat,22.0
,CHENNAI,Wheat,20.0
,DINDIGUL,Wheat,21.0
,HYDERABAD,Wheat,20.0
,HYDERABAD,Wheat,21.0
,DHARWAD,Wheat,20.0
,THIRUCHIRAPALLI,Wheat,20.0
,DINDIGUL,Wheat,20.0
,CHENNAI,Wheat,23.0
,THIRUCHIRAPALLI,Wheat,21.0
,DHARWAD,Wheat,21.0
,HYDERABAD,Wheat,22.0
,CHENNAI,Wheat,24.0
,HYDERABAD,Wheat,24.0
,DHARWAD,Wheat,23.0
,DHARWAD,Wheat,25.0
,ERNAKULAM,Wheat,23.0
,T.PURAM,Wheat,23.0
,DHARWAD,Wheat,26.0
,HYDERABAD,Wheat,25.0
,DHARWAD,Wheat,24.0
,ERNAKULAM,Wheat,24.0
,ERNAKULAM,Wheat,22.0
,HYDERABAD,Wheat,23.0
,T.PURAM,Wheat,24.0
,ERNAKULAM,Wheat,21.0
,ERNAKULAM,Wheat,20.0
,THIRUCHIRAPALLI,Wheat,22.0
,DHARWAD,Wheat,30.0
,ERNAKULAM,Wheat,19.0
,DINDIGUL,Wheat,23.0
,PUDUCHERRY,Wheat,24.0
,DINDIGUL,Wheat,24.0
,CHENNAI,Wheat,25.0
,PUDUCHERRY,Wheat,26.0
,DHARWAD,Wheat,27.0
,DINDIGUL,Wheat,25.0
,THIRUCHIRAPALLI,Wheat,24.0
,ERNAKULAM,Wheat,25.0
,DHARWAD,Wheat,28.0
,CHENNAI,Wheat,27.0
,KOZHIKODE,Wheat,28.0
,CHENNAI,Wheat,28.0
,KOZHIKODE,Wheat,30.0
,DINDIGUL,Wheat,26.0
,HYDERABAD,Wheat,27.0
,THIRUCHIRAPALLI,Wheat,25.0
,KOZHIKODE,Wheat,31.0
,THIRUCHIRAPALLI,Wheat,26.0
,HYDERABAD,Wheat,28.0
,T.PURAM,Wheat,30.0
,PUDUCHERRY,Wheat,27.0
,KOZHIKODE,Wheat,32.0
,HYDERABAD,Wheat,29.0
,THIRUCHIRAPALLI,Wheat,27.0
,PUDUCHERRY,Wheat,28.0
,DINDIGUL,Wheat,27.0
,CHENNAI,Wheat,26.0
,DHARWAD,Wheat,29.0
,ERNAKULAM,Wheat,26.0
,PUDUCHERRY,Wheat,30.0
,KOZHIKODE,Wheat,29.0
,VISAKHAPATNAM,Wheat,23.0
,VISAKHAPATNAM,Wheat,25.0
,VISAKHAPATNAM,Wheat,27.0
,HYDERABAD,Wheat,26.0
,VISAKHAPATNAM,Wheat,26.0
,T.PURAM,Wheat,27.0
,VISAKHAPATNAM,Wheat,24.0
,THIRUCHIRAPALLI,Wheat,28.0
,T.PURAM,Wheat,28.0
,BENGALURU,Wheat,24.0
,KOZHIKODE,Wheat,27.0
,ERNAKULAM,Wheat,29.0
,ERNAKULAM,Wheat,28.0
,CHENNAI,Wheat,29.0
,ERNAKULAM,Wheat,27.0
,DINDIGUL,Wheat,29.0
,PANAJI,Wheat,28.0
,PUDUCHERRY,Wheat,29.0
,BENGALURU,Wheat,27.0
,CHENNAI,Wheat,30.0
,PANAJI,Wheat,29.0
,DINDIGUL,Wheat,30.0
,CHENNAI,Wheat,31.0
,DINDIGUL,Wheat,31.0
,BENGALURU,Wheat,28.0
,T.PURAM,Wheat,29.0
,THIRUCHIRAPALLI,Wheat,29.0
,T.PURAM,Wheat,31.0
,THIRUCHIRAPALLI,Wheat,30.0
,BENGALURU,Wheat,26.0
,BENGALURU,Wheat,29.0
,PUDUCHERRY,Wheat,32.0
,COIMBATORE,Wheat,30.0
,TIRUNELVELI,Wheat,29.0
,CHENNAI,Wheat,32.0
,PANAJI,Wheat,30.0
,TIRUNELVELI,Wheat,30.0
,KOZHIKODE,Wheat,33.0
,THRISSUR,Wheat,32.0
,PALAKKAD,Wheat,36.0
,WAYANAD,Wheat,32.0
,THRISSUR,Wheat,29.0
,PALAKKAD,Wheat,35.0
,WAYANAD,Wheat,34.0
,WAYANAD,Wheat,36.0
,MANGALORE,Wheat,26.0
,MYSORE,Wheat,32.0
,MYSORE,Wheat,31.0
,MYSORE,Wheat,30.0
,MYSORE,Wheat,29.0
,WAYANAD,Wheat,33.0
,MYSORE,Wheat,28.0
